activity_id,week,location_id,co_share_group
R10MX1,1,PLAT:R10MPX:R10MPX1:EB,g1
R10MX1,1,PLAT:R10MPX:R10MPX2:EB,g1
R10MX1,1,SEC:R10MPX:R10MPX1_R10MPX2:EB,g1
R10MX1,2,PLAT:R10MPX:R10MPX1:EB,g1
R10MX1,2,PLAT:R10MPX:R10MPX2:EB,g1
R10MX1,2,SEC:R10MPX:R10MPX1_R10MPX2:EB,g1
R10MX2,3,PLAT:R10MPX:R10MPX1:EB,g1
R10MX2,3,PLAT:R10MPX:R10MPX2:EB,g1
R10MX2,3,SEC:R10MPX:R10MPX1_R10MPX2:EB,g1
R10MX2,4,PLAT:R10MPX:R10MPX1:EB,g1
R10MX2,4,PLAT:R10MPX:R10MPX2:EB,g1
R10MX2,4,SEC:R10MPX:R10MPX1_R10MPX2:EB,g1
R10MX2,5,PLAT:R10MPX:R10MPX1:EB,g1
R10MX2,5,PLAT:R10MPX:R10MPX2:EB,g1
R10MX2,5,SEC:R10MPX:R10MPX1_R10MPX2:EB,g1
