activity_id,week,location_id,co_share_group
R01MX1,1,PLAT:R01MPX:R01MPX1:EB,g1
R01MX1,1,PLAT:R01MPX:R01MPX2:EB,g1
R01MX1,1,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX1,2,PLAT:R01MPX:R01MPX1:EB,g1
R01MX1,2,PLAT:R01MPX:R01MPX2:EB,g1
R01MX1,2,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX2,3,PLAT:R01MPX:R01MPX1:EB,g1
R01MX2,3,PLAT:R01MPX:R01MPX2:EB,g1
R01MX2,3,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX2,4,PLAT:R01MPX:R01MPX1:EB,g1
R01MX2,4,PLAT:R01MPX:R01MPX2:EB,g1
R01MX2,4,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX2,5,PLAT:R01MPX:R01MPX1:EB,g1
R01MX2,5,PLAT:R01MPX:R01MPX2:EB,g1
R01MX2,5,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MY1,1,PLAT:R01MPY:R01MPY1:EB,g1
R01MY1,1,PLAT:R01MPY:R01MPY2:EB,g1
R01MY1,1,SEC:R01MPY:R01MPY1_R01MPY2:EB,g1
R01MY1,2,PLAT:R01MPY:R01MPY1:EB,g1
R01MY1,2,PLAT:R01MPY:R01MPY2:EB,g1
R01MY1,2,SEC:R01MPY:R01MPY1_R01MPY2:EB,g1
R01MY2,3,PLAT:R01MPY:R01MPY1:EB,g1
R01MY2,3,PLAT:R01MPY:R01MPY2:EB,g1
R01MY2,3,SEC:R01MPY:R01MPY1_R01MPY2:EB,g1
R01MY2,4,PLAT:R01MPY:R01MPY1:EB,g1
R01MY2,4,PLAT:R01MPY:R01MPY2:EB,g1
R01MY2,4,SEC:R01MPY:R01MPY1_R01MPY2:EB,g1
R01MY2,5,PLAT:R01MPY:R01MPY1:EB,g1
R01MY2,5,PLAT:R01MPY:R01MPY2:EB,g1
R01MY2,5,SEC:R01MPY:R01MPY1_R01MPY2:EB,g1
R02MX1,1,PLAT:R02MPX:R02MPX1:EB,g1
R02MX1,1,PLAT:R02MPX:R02MPX2:EB,g1
R02MX1,1,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX1,2,PLAT:R02MPX:R02MPX1:EB,g1
R02MX1,2,PLAT:R02MPX:R02MPX2:EB,g1
R02MX1,2,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX2,3,PLAT:R02MPX:R02MPX1:EB,g1
R02MX2,3,PLAT:R02MPX:R02MPX2:EB,g1
R02MX2,3,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX2,4,PLAT:R02MPX:R02MPX1:EB,g1
R02MX2,4,PLAT:R02MPX:R02MPX2:EB,g1
R02MX2,4,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX2,5,PLAT:R02MPX:R02MPX1:EB,g1
R02MX2,5,PLAT:R02MPX:R02MPX2:EB,g1
R02MX2,5,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MY1,1,PLAT:R02MPY:R02MPY1:EB,g1
R02MY1,1,PLAT:R02MPY:R02MPY2:EB,g1
R02MY1,1,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY1,2,PLAT:R02MPY:R02MPY1:EB,g1
R02MY1,2,PLAT:R02MPY:R02MPY2:EB,g1
R02MY1,2,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY2,3,PLAT:R02MPY:R02MPY1:EB,g1
R02MY2,3,PLAT:R02MPY:R02MPY2:EB,g1
R02MY2,3,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY2,4,PLAT:R02MPY:R02MPY1:EB,g1
R02MY2,4,PLAT:R02MPY:R02MPY2:EB,g1
R02MY2,4,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY2,5,PLAT:R02MPY:R02MPY1:EB,g1
R02MY2,5,PLAT:R02MPY:R02MPY2:EB,g1
R02MY2,5,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R03MX1,1,PLAT:R03MPX:R03MPX1:EB,g1
R03MX1,1,PLAT:R03MPX:R03MPX2:EB,g1
R03MX1,1,SEC:R03MPX:R03MPX1_R03MPX2:EB,g1
R03MX1,2,PLAT:R03MPX:R03MPX1:EB,g1
R03MX1,2,PLAT:R03MPX:R03MPX2:EB,g1
R03MX1,2,SEC:R03MPX:R03MPX1_R03MPX2:EB,g1
R03MX2,3,PLAT:R03MPX:R03MPX1:EB,g1
