activity_id,week,location_id,co_share_group
R02MX1,1,PLAT:R02MPX:R02MPX1:EB,g1
R02MX1,1,PLAT:R02MPX:R02MPX2:EB,g1
R02MX1,1,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX1,2,PLAT:R02MPX:R02MPX1:EB,g1
R02MX1,2,PLAT:R02MPX:R02MPX2:EB,g1
R02MX1,2,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX2,3,PLAT:R02MPX:R02MPX1:EB,g1
R02MX2,3,PLAT:R02MPX:R02MPX2:EB,g1
R02MX2,3,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX2,4,PLAT:R02MPX:R02MPX1:EB,g1
R02MX2,4,PLAT:R02MPX:R02MPX2:EB,g1
R02MX2,4,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
R02MX2,5,PLAT:R02MPX:R02MPX1:EB,g1
R02MX2,5,PLAT:R02MPX:R02MPX2:EB,g1
R02MX2,5,SEC:R02MPX:R02MPX1_R02MPX2:EB,g1
