activity_id,week,location_id,co_share_group
R06MX1,1,PLAT:R06MPX:R06MPX1:EB,g1
R06MX1,1,PLAT:R06MPX:R06MPX2:EB,g1
R06MX1,1,SEC:R06MPX:R06MPX1_R06MPX2:EB,g1
R06MX1,2,PLAT:R06MPX:R06MPX1:EB,g1
R06MX1,2,PLAT:R06MPX:R06MPX2:EB,g1
R06MX1,2,SEC:R06MPX:R06MPX1_R06MPX2:EB,g1
R06MX2,3,PLAT:R06MPX:R06MPX1:EB,g1
R06MX2,3,PLAT:R06MPX:R06MPX2:EB,g1
R06MX2,3,SEC:R06MPX:R06MPX1_R06MPX2:EB,g1
R06MX2,4,PLAT:R06MPX:R06MPX1:EB,g1
R06MX2,4,PLAT:R06MPX:R06MPX2:EB,g1
R06MX2,4,SEC:R06MPX:R06MPX1_R06MPX2:EB,g1
R06MX2,5,PLAT:R06MPX:R06MPX1:EB,g1
R06MX2,5,PLAT:R06MPX:R06MPX2:EB,g1
R06MX2,5,SEC:R06MPX:R06MPX1_R06MPX2:EB,g1
