activity_id,week,location_id,co_share_group
R08MX1,1,PLAT:R08MPX:R08MPX1:EB,g1
R08MX1,1,PLAT:R08MPX:R08MPX2:EB,g1
R08MX1,1,SEC:R08MPX:R08MPX1_R08MPX2:EB,g1
R08MX1,2,PLAT:R08MPX:R08MPX1:EB,g1
R08MX1,2,PLAT:R08MPX:R08MPX2:EB,g1
R08MX1,2,SEC:R08MPX:R08MPX1_R08MPX2:EB,g1
R08MX2,3,PLAT:R08MPX:R08MPX1:EB,g1
R08MX2,3,PLAT:R08MPX:R08MPX2:EB,g1
R08MX2,3,SEC:R08MPX:R08MPX1_R08MPX2:EB,g1
R08MX2,4,PLAT:R08MPX:R08MPX1:EB,g1
R08MX2,4,PLAT:R08MPX:R08MPX2:EB,g1
R08MX2,4,SEC:R08MPX:R08MPX1_R08MPX2:EB,g1
R08MX2,5,PLAT:R08MPX:R08MPX1:EB,g1
R08MX2,5,PLAT:R08MPX:R08MPX2:EB,g1
R08MX2,5,SEC:R08MPX:R08MPX1_R08MPX2:EB,g1
