activity_id,week,location_id,co_share_group
R09MX1,1,PLAT:R09MPX:R09MPX1:EB,g1
R09MX1,1,PLAT:R09MPX:R09MPX2:EB,g1
R09MX1,1,SEC:R09MPX:R09MPX1_R09MPX2:EB,g1
R09MX1,2,PLAT:R09MPX:R09MPX1:EB,g1
R09MX1,2,PLAT:R09MPX:R09MPX2:EB,g1
R09MX1,2,SEC:R09MPX:R09MPX1_R09MPX2:EB,g1
R09MX2,3,PLAT:R09MPX:R09MPX1:EB,g1
R09MX2,3,PLAT:R09MPX:R09MPX2:EB,g1
R09MX2,3,SEC:R09MPX:R09MPX1_R09MPX2:EB,g1
R09MX2,4,PLAT:R09MPX:R09MPX1:EB,g1
R09MX2,4,PLAT:R09MPX:R09MPX2:EB,g1
R09MX2,4,SEC:R09MPX:R09MPX1_R09MPX2:EB,g1
R09MX2,5,PLAT:R09MPX:R09MPX1:EB,g1
R09MX2,5,PLAT:R09MPX:R09MPX2:EB,g1
R09MX2,5,SEC:R09MPX:R09MPX1_R09MPX2:EB,g1
