activity_id,week,location_id,co_share_group
R16MY1,1,PLAT:R16MPY:R16MPY1:EB,g1
R16MY1,1,PLAT:R16MPY:R16MPY2:EB,g1
R16MY1,1,SEC:R16MPY:R16MPY1_R16MPY2:EB,g1
R16MY1,2,PLAT:R16MPY:R16MPY1:EB,g1
R16MY1,2,PLAT:R16MPY:R16MPY2:EB,g1
R16MY1,2,SEC:R16MPY:R16MPY1_R16MPY2:EB,g1
R16MY2,3,PLAT:R16MPY:R16MPY1:EB,g1
R16MY2,3,PLAT:R16MPY:R16MPY2:EB,g1
R16MY2,3,SEC:R16MPY:R16MPY1_R16MPY2:EB,g1
R16MY2,4,PLAT:R16MPY:R16MPY1:EB,g1
R16MY2,4,PLAT:R16MPY:R16MPY2:EB,g1
R16MY2,4,SEC:R16MPY:R16MPY1_R16MPY2:EB,g1
R16MY2,5,PLAT:R16MPY:R16MPY1:EB,g1
R16MY2,5,PLAT:R16MPY:R16MPY2:EB,g1
R16MY2,5,SEC:R16MPY:R16MPY1_R16MPY2:EB,g1
