activity_id,week,location_id,co_share_group
R03MY1,1,PLAT:R03MPY:R03MPY1:EB,g1
R03MY1,1,PLAT:R03MPY:R03MPY2:EB,g1
R03MY1,1,SEC:R03MPY:R03MPY1_R03MPY2:EB,g1
R03MY1,2,PLAT:R03MPY:R03MPY1:EB,g1
R03MY1,2,PLAT:R03MPY:R03MPY2:EB,g1
R03MY1,2,SEC:R03MPY:R03MPY1_R03MPY2:EB,g1
R03MY2,3,PLAT:R03MPY:R03MPY1:EB,g1
R03MY2,3,PLAT:R03MPY:R03MPY2:EB,g1
R03MY2,3,SEC:R03MPY:R03MPY1_R03MPY2:EB,g1
R03MY2,4,PLAT:R03MPY:R03MPY1:EB,g1
R03MY2,4,PLAT:R03MPY:R03MPY2:EB,g1
R03MY2,4,SEC:R03MPY:R03MPY1_R03MPY2:EB,g1
R03MY2,5,PLAT:R03MPY:R03MPY1:EB,g1
R03MY2,5,PLAT:R03MPY:R03MPY2:EB,g1
R03MY2,5,SEC:R03MPY:R03MPY1_R03MPY2:EB,g1
