activity_id,week,location_id,co_share_group
R10MY1,1,PLAT:R10MPY:R10MPY1:EB,g1
R10MY1,1,PLAT:R10MPY:R10MPY2:EB,g1
R10MY1,1,SEC:R10MPY:R10MPY1_R10MPY2:EB,g1
R10MY1,2,PLAT:R10MPY:R10MPY1:EB,g1
R10MY1,2,PLAT:R10MPY:R10MPY2:EB,g1
R10MY1,2,SEC:R10MPY:R10MPY1_R10MPY2:EB,g1
R10MY2,3,PLAT:R10MPY:R10MPY1:EB,g1
R10MY2,3,PLAT:R10MPY:R10MPY2:EB,g1
R10MY2,3,SEC:R10MPY:R10MPY1_R10MPY2:EB,g1
R10MY2,4,PLAT:R10MPY:R10MPY1:EB,g1
R10MY2,4,PLAT:R10MPY:R10MPY2:EB,g1
R10MY2,4,SEC:R10MPY:R10MPY1_R10MPY2:EB,g1
R10MY2,5,PLAT:R10MPY:R10MPY1:EB,g1
R10MY2,5,PLAT:R10MPY:R10MPY2:EB,g1
R10MY2,5,SEC:R10MPY:R10MPY1_R10MPY2:EB,g1
