activity_id,week,location_id,co_share_group
R12MX1,1,PLAT:R12MPX:R12MPX1:EB,g1
R12MX1,1,PLAT:R12MPX:R12MPX2:EB,g1
R12MX1,1,SEC:R12MPX:R12MPX1_R12MPX2:EB,g1
R12MX1,2,PLAT:R12MPX:R12MPX1:EB,g1
R12MX1,2,PLAT:R12MPX:R12MPX2:EB,g1
R12MX1,2,SEC:R12MPX:R12MPX1_R12MPX2:EB,g1
R12MX2,3,PLAT:R12MPX:R12MPX1:EB,g1
R12MX2,3,PLAT:R12MPX:R12MPX2:EB,g1
R12MX2,3,SEC:R12MPX:R12MPX1_R12MPX2:EB,g1
R12MX2,4,PLAT:R12MPX:R12MPX1:EB,g1
R12MX2,4,PLAT:R12MPX:R12MPX2:EB,g1
R12MX2,4,SEC:R12MPX:R12MPX1_R12MPX2:EB,g1
R12MX2,5,PLAT:R12MPX:R12MPX1:EB,g1
R12MX2,5,PLAT:R12MPX:R12MPX2:EB,g1
R12MX2,5,SEC:R12MPX:R12MPX1_R12MPX2:EB,g1
