activity_id,week,location_id,co_share_group
R13MX1,1,PLAT:R13MPX:R13MPX1:EB,g1
R13MX1,1,PLAT:R13MPX:R13MPX2:EB,g1
R13MX1,1,SEC:R13MPX:R13MPX1_R13MPX2:EB,g1
R13MX1,2,PLAT:R13MPX:R13MPX1:EB,g1
R13MX1,2,PLAT:R13MPX:R13MPX2:EB,g1
R13MX1,2,SEC:R13MPX:R13MPX1_R13MPX2:EB,g1
R13MX2,3,PLAT:R13MPX:R13MPX1:EB,g1
R13MX2,3,PLAT:R13MPX:R13MPX2:EB,g1
R13MX2,3,SEC:R13MPX:R13MPX1_R13MPX2:EB,g1
R13MX2,4,PLAT:R13MPX:R13MPX1:EB,g1
R13MX2,4,PLAT:R13MPX:R13MPX2:EB,g1
R13MX2,4,SEC:R13MPX:R13MPX1_R13MPX2:EB,g1
R13MX2,5,PLAT:R13MPX:R13MPX1:EB,g1
R13MX2,5,PLAT:R13MPX:R13MPX2:EB,g1
R13MX2,5,SEC:R13MPX:R13MPX1_R13MPX2:EB,g1
