activity_id,week,location_id,co_share_group
R15MX1,1,PLAT:R15MPX:R15MPX1:EB,g1
R15MX1,1,PLAT:R15MPX:R15MPX2:EB,g1
R15MX1,1,SEC:R15MPX:R15MPX1_R15MPX2:EB,g1
R15MX1,2,PLAT:R15MPX:R15MPX1:EB,g1
R15MX1,2,PLAT:R15MPX:R15MPX2:EB,g1
R15MX1,2,SEC:R15MPX:R15MPX1_R15MPX2:EB,g1
R15MX2,3,PLAT:R15MPX:R15MPX1:EB,g1
R15MX2,3,PLAT:R15MPX:R15MPX2:EB,g1
R15MX2,3,SEC:R15MPX:R15MPX1_R15MPX2:EB,g1
R15MX2,4,PLAT:R15MPX:R15MPX1:EB,g1
R15MX2,4,PLAT:R15MPX:R15MPX2:EB,g1
R15MX2,4,SEC:R15MPX:R15MPX1_R15MPX2:EB,g1
R15MX2,5,PLAT:R15MPX:R15MPX1:EB,g1
R15MX2,5,PLAT:R15MPX:R15MPX2:EB,g1
R15MX2,5,SEC:R15MPX:R15MPX1_R15MPX2:EB,g1
