activity_id,access_seq,week,eclo,access_night
R01MX1,1,1,1,1
R01MX1,2,2,1,1
R01MX2,1,3,0,1
R01MX2,2,4,0,1
R01MX2,3,5,0,1
R01MY1,1,1,0,1
R01MY1,2,5,0,1
R01MY1,3,6,0,1
R01MY2,1,2,0,1
R01MY2,2,3,0,1
R01MY2,3,4,0,1
R02MX1,1,1,0,1
R02MX1,2,5,0,1
R02MX1,3,6,0,1
R02MX2,1,2,0,1
R02MX2,2,3,0,1
R02MX2,3,4,0,1
R02MY1,1,1,0,1
R02MY1,2,5,0,1
R02MY1,3,6,0,1
R02MY2,1,2,0,1
R02MY2,2,3,0,1
R02MY2,3,4,0,1
R03MX1,1,1,0,1
R03MX1,2,5,0,1
R03MX1,3,6,0,1
R03MX2,1,2,0,1
R03MX2,2,3,0,1
R03MX2,3,4,0,1
R03MY1,1,1,0,1
R03MY1,2,5,0,1
R03MY1,3,6,0,1
R03MY2,1,2,0,1
R03MY2,2,3,0,1
R03MY2,3,4,0,1
R04MX1,1,1,0,1
R04MX1,2,5,0,1
R04MX1,3,6,0,1
R04MX2,1,2,0,1
R04MX2,2,3,0,1
R04MX2,3,4,0,1
R04MY1,1,1,0,1
R04MY1,2,5,0,1
R04MY1,3,6,0,1
R04MY2,1,2,0,1
R04MY2,2,3,0,1
R04MY2,3,4,0,1
R05MX1,1,1,0,1
R05MX1,2,5,0,1
R05MX1,3,6,0,1
R05MX2,1,2,0,1
R05MX2,2,3,0,1
R05MX2,3,4,0,1
R05MY1,1,1,0,1
R05MY1,2,5,0,1
R05MY1,3,6,0,1
R05MY2,1,2,0,1
R05MY2,2,3,0,1
R05MY2,3,4,0,1
R06MX1,1,1,0,1
R06MX1,2,5,0,1
R06MX1,3,6,0,1
R06MX2,1,2,0,1
R06MX2,2,3,0,1
R06MX2,3,4,0,1
R06MY1,1,1,0,1
R06MY1,2,5,0,1
R06MY1,3,6,0,1
R06MY2,1,2,0,1
R06MY2,2,3,0,1
R06MY2,3,4,0,1
R07MX1,1,1,0,1
R07MX1,2,5,0,1
R07MX1,3,6,0,1
R07MX2,1,2,0,1
R07MX2,2,3,0,1
R07MX2,3,4,0,1
R07MY1,1,1,0,1
R07MY1,2,5,0,1
R07MY1,3,6,0,1
R07MY2,1,2,0,1
R07MY2,2,3,0,1
R07MY2,3,4,0,1
R08MX1,1,1,0,1
R08MX1,2,5,0,1
R08MX1,3,6,0,1
R08MX2,1,2,0,1
R08MX2,2,3,0,1
R08MX2,3,4,0,1
R08MY1,1,1,0,1
R08MY1,2,5,0,1
R08MY1,3,6,0,1
R08MY2,1,2,0,1
R08MY2,2,3,0,1
R08MY2,3,4,0,1
R09MX1,1,1,0,1
R09MX1,2,5,0,1
R09MX1,3,6,0,1
R09MX2,1,2,0,1
R09MX2,2,3,0,1
R09MX2,3,4,0,1
R09MY1,1,1,0,1
R09MY1,2,5,0,1
R09MY1,3,6,0,1
R09MY2,1,2,0,1
R09MY2,2,3,0,1
R09MY2,3,4,0,1
R10MX1,1,1,0,1
R10MX1,2,5,0,1
R10MX1,3,6,0,1
R10MX2,1,2,0,1
R10MX2,2,3,0,1
R10MX2,3,4,0,1
R10MY1,1,1,0,1
R10MY1,2,5,0,1
R10MY1,3,6,0,1
R10MY2,1,2,0,1
R10MY2,2,3,0,1
R10MY2,3,4,0,1
R11MX1,1,1,0,1
R11MX1,2,5,0,1
R11MX1,3,6,0,1
R11MX2,1,2,0,1
R11MX2,2,3,0,1
R11MX2,3,4,0,1
R11MY1,1,1,0,1
R11MY1,2,5,0,1
R11MY1,3,6,0,1
R11MY2,1,2,0,1
R11MY2,2,3,0,1
R11MY2,3,4,0,1
R12MX1,1,1,0,1
R12MX1,2,5,0,1
R12MX1,3,6,0,1
R12MX2,1,2,0,1
R12MX2,2,3,0,1
R12MX2,3,4,0,1
R12MY1,1,1,0,1
R12MY1,2,5,0,1
R12MY1,3,6,0,1
R12MY2,1,2,0,1
R12MY2,2,3,0,1
R12MY2,3,4,0,1
R13MX1,1,1,0,1
R13MX1,2,5,0,1
R13MX1,3,6,0,1
R13MX2,1,2,0,1
R13MX2,2,3,0,1
R13MX2,3,4,0,1
R13MY1,1,1,0,1
R13MY1,2,5,0,1
R13MY1,3,6,0,1
R13MY2,1,2,0,1
R13MY2,2,3,0,1
R13MY2,3,4,0,1
R14MX1,1,1,0,1
R14MX1,2,5,0,1
R14MX1,3,6,0,1
R14MX2,1,2,0,1
R14MX2,2,3,0,1
R14MX2,3,4,0,1
R14MY1,1,1,0,1
R14MY1,2,5,0,1
R14MY1,3,6,0,1
R14MY2,1,2,0,1
R14MY2,2,3,0,1
R14MY2,3,4,0,1
R15MX1,1,1,0,1
R15MX1,2,5,0,1
R15MX1,3,6,0,1
R15MX2,1,2,0,1
R15MX2,2,3,0,1
R15MX2,3,4,0,1
R15MY1,1,1,0,1
R15MY1,2,5,0,1
R15MY1,3,6,0,1
R15MY2,1,2,0,1
R15MY2,2,3,0,1
R15MY2,3,4,0,1
R16MX1,1,1,0,1
R16MX1,2,5,0,1
R16MX1,3,6,0,1
R16MX2,1,2,0,1
R16MX2,2,3,0,1
R16MX2,3,4,0,1
R16MY1,1,1,0,1
R16MY1,2,5,0,1
R16MY1,3,6,0,1
R16MY2,1,2,0,1
R16MY2,2,3,0,1
R16MY2,3,4,0,1
