activity_id,access_seq,week,eclo,access_night
R01MX1,1,1,1,1
R01MX1,2,2,1,1
R01MX2,1,3,0,1
R01MX2,2,4,0,1
R01MX2,3,5,0,1
R01MY1,1,1,0,1
R01MY1,2,5,0,1
R01MY1,3,6,0,1
R01MY1,4,7,0,1
R01MY1,5,8,0,1
R01MY1,6,9,0,1
R01MY1,7,10,0,1
R01MY1,8,11,0,1
R01MY1,9,12,0,1
R01MY2,1,2,0,1
R01MY2,2,3,0,1
R01MY2,3,4,0,1
R02MX1,1,1,0,1
R02MX1,2,5,0,1
R02MX1,3,6,0,1
R02MX1,4,7,0,1
R02MX1,5,8,0,1
R02MX1,6,9,0,1
R02MX1,7,10,0,1
R02MX1,8,11,0,1
R02MX1,9,12,0,1
R02MX2,1,2,0,1
R02MX2,2,3,0,1
R02MX2,3,4,0,1
R02MY1,1,1,0,1
R02MY1,2,5,0,1
R02MY1,3,6,0,1
R02MY1,4,7,0,1
R02MY1,5,8,0,1
R02MY1,6,9,0,1
R02MY1,7,10,0,1
R02MY1,8,11,0,1
R02MY1,9,12,0,1
R02MY2,1,2,0,1
R02MY2,2,3,0,1
R02MY2,3,4,0,1
R03MX1,1,1,0,1
R03MX1,2,5,0,1
R03MX1,3,6,0,1
R03MX1,4,7,0,1
R03MX1,5,8,0,1
R03MX1,6,9,0,1
R03MX1,7,10,0,1
R03MX1,8,11,0,1
R03MX1,9,12,0,1
R03MX2,1,2,0,1
R03MX2,2,3,0,1
R03MX2,3,4,0,1
R03MY1,1,1,0,1
R03MY1,2,5,0,1
R03MY1,3,6,0,1
R03MY1,4,7,0,1
R03MY1,5,8,0,1
R03MY1,6,9,0,1
R03MY1,7,10,0,1
R03MY1,8,11,0,1
R03MY1,9,12,0,1
R03MY2,1,2,0,1
R03MY2,2,3,0,1
R03MY2,3,4,0,1
R04MX1,1,1,0,1
R04MX1,2,5,0,1
R04MX1,3,6,0,1
R04MX1,4,7,0,1
R04MX1,5,8,0,1
R04MX1,6,9,0,1
R04MX1,7,10,0,1
R04MX1,8,11,0,1
R04MX1,9,12,0,1
R04MX2,1,2,0,1
R04MX2,2,3,0,1
R04MX2,3,4,0,1
R04MY1,1,1,0,1
R04MY1,2,5,0,1
R04MY1,3,6,0,1
R04MY1,4,7,0,1
R04MY1,5,8,0,1
R04MY1,6,9,0,1
R04MY1,7,10,0,1
R04MY1,8,11,0,1
R04MY1,9,12,0,1
R04MY2,1,2,0,1
R04MY2,2,3,0,1
R04MY2,3,4,0,1
R05MX1,1,1,0,1
R05MX1,2,5,0,1
R05MX1,3,6,0,1
R05MX1,4,7,0,1
R05MX1,5,8,0,1
R05MX1,6,9,0,1
R05MX1,7,10,0,1
R05MX1,8,11,0,1
R05MX1,9,12,0,1
R05MX2,1,2,0,1
R05MX2,2,3,0,1
R05MX2,3,4,0,1
R05MY1,1,1,0,1
R05MY1,2,5,0,1
R05MY1,3,6,0,1
R05MY1,4,7,0,1
R05MY1,5,8,0,1
R05MY1,6,9,0,1
R05MY1,7,10,0,1
R05MY1,8,11,0,1
R05MY1,9,12,0,1
R05MY2,1,2,0,1
R05MY2,2,3,0,1
R05MY2,3,4,0,1
R06MX1,1,1,0,1
R06MX1,2,5,0,1
R06MX1,3,6,0,1
R06MX1,4,7,0,1
R06MX1,5,8,0,1
R06MX1,6,9,0,1
R06MX1,7,10,0,1
R06MX1,8,11,0,1
R06MX1,9,12,0,1
R06MX2,1,2,0,1
R06MX2,2,3,0,1
R06MX2,3,4,0,1
R06MY1,1,1,0,1
R06MY1,2,5,0,1
R06MY1,3,6,0,1
R06MY1,4,7,0,1
R06MY1,5,8,0,1
R06MY1,6,9,0,1
R06MY1,7,10,0,1
R06MY1,8,11,0,1
R06MY1,9,12,0,1
R06MY2,1,2,0,1
R06MY2,2,3,0,1
R06MY2,3,4,0,1
R07MX1,1,1,0,1
R07MX1,2,5,0,1
R07MX1,3,6,0,1
R07MX1,4,7,0,1
R07MX1,5,8,0,1
R07MX1,6,9,0,1
R07MX1,7,10,0,1
R07MX1,8,11,0,1
R07MX1,9,12,0,1
R07MX2,1,2,0,1
R07MX2,2,3,0,1
R07MX2,3,4,0,1
R07MY1,1,1,0,1
R07MY1,2,5,0,1
R07MY1,3,6,0,1
R07MY1,4,7,0,1
R07MY1,5,8,0,1
R07MY1,6,9,0,1
R07MY1,7,10,0,1
R07MY1,8,11,0,1
R07MY1,9,12,0,1
