activity_id,access_seq,week,eclo,access_night
R0101,1,1,0,1
R0101,2,2,0,1
R0101,3,3,0,1
R0102,1,4,0,1
R0102,2,5,0,1
R0103,1,6,0,1
R0104,1,7,0,1
R0104,2,8,0,1
R0105,1,9,0,2
R0106,1,10,0,1
R0106,2,11,0,1
R0107,1,12,0,1
R0107,2,13,0,1
R0108,1,14,0,1
R0109,1,4,0,1
R0109,2,5,0,1
R0201,1,1,0,1
R0201,2,2,0,1
R0201,3,3,0,1
R0202,1,4,0,1
R0202,2,5,0,1
R0203,1,6,0,1
R0204,1,7,0,1
R0204,2,8,0,1
R0205,1,9,0,2
R0206,1,10,0,1
R0206,2,11,0,1
R0207,1,12,0,1
R0207,2,13,0,1
R0208,1,14,0,1
R0209,1,4,0,1
R0209,2,5,0,1
R0301,1,1,0,1
R0301,2,2,0,1
R0301,3,3,0,1
R0302,1,4,0,1
R0302,2,5,0,1
R0303,1,6,0,1
R0304,1,7,0,1
R0304,2,8,0,1
R0305,1,9,0,2
R0306,1,10,0,1
R0306,2,11,0,1
R0307,1,12,0,1
R0307,2,13,0,1
R0308,1,14,0,1
R0309,1,4,0,1
R0309,2,5,0,1
R0401,1,1,0,1
R0401,2,2,0,1
R0401,3,3,0,1
R0402,1,4,0,1
R0402,2,5,0,1
R0403,1,6,0,1
R0404,1,7,0,1
R0404,2,8,0,1
R0405,1,9,0,2
R0406,1,10,0,1
R0406,2,11,0,1
R0407,1,12,0,1
R0407,2,13,0,1
R0408,1,14,0,1
R0409,1,4,0,1
R0409,2,5,0,1
R0501,1,1,0,1
R0501,2,2,0,1
R0501,3,3,0,1
R0502,1,4,0,1
R0502,2,5,0,1
R0503,1,6,0,1
R0504,1,7,0,1
R0504,2,8,0,1
R0505,1,9,0,2
R0506,1,10,0,1
R0506,2,11,0,1
R0507,1,12,0,1
R0507,2,13,0,1
R0508,1,14,0,1
R0509,1,4,0,1
R0509,2,5,0,1
R0601,1,1,0,1
R0601,2,2,0,1
R0601,3,3,0,1
R0602,1,4,0,1
R0602,2,5,0,1
R0603,1,6,0,1
R0604,1,7,0,1
R0604,2,8,0,1
R0605,1,9,0,2
R0606,1,10,0,1
R0606,2,11,0,1
R0607,1,12,0,1
R0607,2,13,0,1
R0608,1,14,0,1
R0609,1,4,0,1
R0609,2,5,0,1
R0701,1,1,0,1
R0701,2,2,0,1
R0701,3,3,0,1
R0702,1,4,0,1
R0702,2,5,0,1
R0703,1,6,0,1
R0704,1,7,0,1
R0704,2,8,0,1
R0705,1,9,0,2
R0706,1,10,0,1
R0706,2,11,0,1
R0707,1,12,0,1
R0707,2,13,0,1
R0708,1,14,0,1
R0709,1,4,0,1
R0709,2,5,0,1
R0801,1,1,0,1
R0801,2,2,0,1
R0801,3,3,0,1
R0802,1,4,0,1
R0802,2,5,0,1
R0803,1,6,0,1
R0804,1,7,0,1
R0804,2,8,0,1
R0805,1,9,0,2
R0806,1,10,0,1
R0806,2,11,0,1
R0807,1,12,0,1
R0807,2,13,0,1
R0808,1,14,0,1
R0809,1,4,0,1
R0809,2,5,0,1
R0901,1,1,0,1
R0901,2,2,0,1
R0901,3,3,0,1
R0902,1,4,0,1
R0902,2,5,0,1
R0903,1,6,0,1
R0904,1,7,0,1
R0904,2,8,0,1
R0905,1,9,0,2
R0906,1,10,0,1
R0906,2,11,0,1
R0907,1,12,0,1
R0907,2,13,0,1
R0908,1,14,0,1
R0909,1,4,0,1
R0909,2,5,0,1
R1001,1,1,0,1
R1001,2,2,0,1
R1001,3,3,0,1
R1002,1,4,0,1
R1002,2,5,0,1
R1003,1,6,0,1
R1004,1,7,0,1
R1004,2,8,0,1
R1005,1,9,0,2
R1006,1,10,0,1
R1006,2,11,0,1
R1007,1,12,0,1
R1007,2,13,0,1
R1008,1,14,0,1
R1009,1,4,0,1
R1009,2,5,0,1
R1101,1,1,0,1
R1101,2,2,0,1
R1101,3,3,0,1
R1102,1,4,0,1
R1102,2,5,0,1
R1103,1,6,0,1
R1104,1,7,0,1
R1104,2,8,0,1
R1105,1,9,0,2
R1106,1,10,0,1
R1106,2,11,0,1
R1107,1,12,0,1
R1107,2,13,0,1
R1108,1,14,0,1
R1109,1,4,0,1
R1109,2,5,0,1
R1201,1,1,0,1
R1201,2,2,0,1
R1201,3,3,0,1
R1202,1,4,0,1
R1202,2,5,0,1
R1203,1,6,0,1
R1204,1,7,0,1
R1204,2,8,0,1
R1205,1,9,0,2
R1206,1,10,0,1
R1206,2,11,0,1
R1207,1,12,0,1
R1207,2,13,0,1
R1208,1,14,0,1
R1209,1,4,0,1
R1209,2,5,0,1
R1301,1,1,0,1
R1301,2,2,0,1
R1301,3,3,0,1
R1302,1,4,0,1
R1302,2,5,0,1
R1303,1,6,0,1
R1304,1,7,0,1
R1304,2,8,0,1
R1305,1,9,0,2
R1306,1,10,0,1
R1306,2,11,0,1
R1307,1,12,0,1
R1307,2,13,0,1
R1308,1,14,0,1
R1309,1,4,0,1
R1309,2,5,0,1
R1401,1,1,0,1
R1401,2,2,0,1
R1401,3,3,0,1
R1402,1,4,0,1
R1402,2,5,0,1
R1403,1,6,0,1
R1404,1,7,0,1
R1404,2,8,0,1
R1405,1,9,0,2
R1406,1,10,0,1
R1406,2,11,0,1
R1407,1,12,0,1
R1407,2,13,0,1
R1408,1,14,0,1
R1409,1,4,0,1
R1409,2,5,0,1
R1501,1,1,0,1
R1501,2,2,0,1
R1501,3,3,0,1
R1502,1,4,0,1
R1502,2,5,0,1
R1503,1,6,0,1
R1504,1,7,0,1
R1504,2,8,0,1
R1505,1,9,0,2
R1506,1,10,0,1
R1506,2,11,0,1
R1507,1,12,0,1
R1507,2,13,0,1
R1508,1,14,0,1
R1509,1,4,0,1
R1509,2,5,0,1
R1601,1,1,0,1
R1601,2,2,0,1
R1601,3,3,0,1
R1602,1,4,0,1
R1602,2,5,0,1
R1603,1,6,0,1
R1604,1,7,0,1
R1604,2,8,0,1
R1605,1,9,0,2
R1606,1,10,0,1
R1606,2,11,0,1
R1607,1,12,0,1
R1607,2,13,0,1
R1608,1,14,0,1
R1609,1,4,0,1
R1609,2,5,0,1
R1701,1,1,0,1
R1701,2,2,0,1
R1701,3,3,0,1
R1702,1,4,0,1
R1702,2,5,0,1
R1703,1,6,0,1
R1704,1,7,0,1
R1704,2,8,0,1
R1705,1,9,0,2
R1706,1,10,0,1
R1706,2,11,0,1
R1707,1,12,0,1
R1707,2,13,0,1
R1708,1,14,0,1
R1709,1,4,0,1
R1709,2,5,0,1
R1801,1,1,0,1
R1801,2,2,0,1
R1801,3,3,0,1
R1802,1,4,0,1
R1802,2,5,0,1
R1803,1,6,0,1
R1804,1,7,0,1
R1804,2,8,0,1
R1805,1,9,0,2
R1806,1,10,0,1
R1806,2,11,0,1
R1807,1,12,0,1
R1807,2,13,0,1
R1808,1,14,0,1
R1809,1,4,0,1
R1809,2,5,0,1
R1901,1,1,0,1
R1901,2,2,0,1
R1901,3,3,0,1
R1902,1,4,0,1
R1902,2,5,0,1
R1903,1,6,0,1
R1904,1,7,0,1
R1904,2,8,0,1
R1905,1,9,0,2
R1906,1,10,0,1
R1906,2,11,0,1
R1907,1,12,0,1
R1907,2,13,0,1
R1908,1,14,0,1
R1909,1,4,0,1
R1909,2,5,0,1
R2001,1,1,0,1
R2001,2,2,0,1
R2001,3,3,0,1
R2002,1,4,0,1
R2002,2,5,0,1
R2003,1,6,0,1
R2004,1,7,0,1
R2004,2,8,0,1
R2005,1,9,0,2
R2006,1,10,0,1
R2006,2,11,0,1
R2007,1,12,0,1
R2007,2,13,0,1
R2008,1,14,0,1
R2009,1,4,0,1
R2009,2,5,0,1
