activity_id,access_seq,week,eclo,access_night
R0101,1,1,0,1
R0101,2,2,0,1
R0101,3,3,0,1
R0102,1,4,0,1
R0102,2,5,0,1
R0103,1,6,0,1
R0104,1,7,0,1
R0104,2,8,0,1
R0105,1,9,0,1
R0106,1,10,0,1
R0106,2,11,0,1
R0107,1,12,0,1
R0107,2,13,0,1
R0108,1,14,0,1
R0109,1,4,0,1
R0109,2,5,0,1
R0201,1,1,0,1
R0201,2,2,0,1
R0201,3,3,0,1
R0202,1,4,0,1
R0202,2,5,0,1
R0203,1,6,0,1
R0204,1,7,0,1
R0204,2,8,0,1
R0205,1,9,0,1
R0206,1,10,0,1
R0206,2,11,0,1
R0207,1,12,0,1
R0207,2,13,0,1
R0208,1,14,0,1
R0209,1,4,0,1
R0209,2,5,0,1
R0301,1,1,0,1
R0301,2,2,0,1
R0301,3,3,0,1
R0302,1,4,0,1
R0302,2,5,0,1
R0303,1,6,0,1
R0304,1,7,0,1
R0304,2,8,0,1
R0305,1,9,0,1
R0306,1,10,0,1
R0306,2,11,0,1
R0307,1,12,0,1
R0307,2,13,0,1
R0308,1,14,0,1
R0309,1,4,0,1
R0309,2,5,0,1
R0401,1,1,0,1
R0401,2,2,0,1
R0401,3,3,0,1
R0402,1,4,0,1
R0402,2,5,0,1
R0403,1,6,0,1
R0404,1,7,0,1
R0404,2,8,0,1
R0405,1,9,0,1
R0406,1,10,0,1
R0406,2,11,0,1
R0407,1,12,0,1
R0407,2,13,0,1
R0408,1,14,0,1
R0409,1,4,0,1
R0409,2,5,0,1
R0501,1,1,0,1
R0501,2,2,0,1
R0501,3,3,0,1
R0502,1,4,0,1
R0502,2,5,0,1
R0503,1,6,0,1
R0504,1,7,0,1
R0504,2,8,0,1
R0505,1,9,0,1
R0506,1,10,0,1
R0506,2,11,0,1
R0507,1,12,0,1
R0507,2,13,0,1
R0508,1,14,0,1
R0509,1,4,0,1
R0509,2,5,0,1
R0601,1,1,0,1
R0601,2,2,0,1
R0601,3,3,0,1
R0602,1,4,0,1
R0602,2,5,0,1
R0603,1,6,0,1
R0604,1,7,0,1
R0604,2,8,0,1
R0605,1,9,0,1
R0606,1,10,0,1
R0606,2,11,0,1
R0607,1,12,0,1
R0607,2,13,0,1
R0608,1,14,0,1
R0609,1,4,0,1
R0609,2,5,0,1
R0701,1,1,0,1
R0701,2,2,0,1
R0701,3,3,0,1
R0702,1,4,0,1
R0702,2,5,0,1
R0703,1,6,0,1
R0704,1,7,0,1
R0704,2,8,0,1
R0705,1,9,0,1
R0706,1,10,0,1
R0706,2,11,0,1
R0707,1,12,0,1
R0707,2,13,0,1
R0708,1,14,0,1
R0709,1,4,0,1
R0709,2,5,0,1
R0801,1,1,0,1
R0801,2,2,0,1
R0801,3,3,0,1
R0802,1,4,0,1
R0802,2,5,0,1
R0803,1,6,0,1
R0804,1,7,0,1
R0804,2,8,0,1
R0805,1,9,0,1
R0806,1,10,0,1
R0806,2,11,0,1
R0807,1,12,0,1
R0807,2,13,0,1
R0808,1,14,0,1
R0809,1,4,0,1
R0809,2,5,0,1
R0901,1,1,0,1
R0901,2,2,0,1
R0901,3,3,0,1
R0902,1,4,0,1
R0902,2,5,0,1
R0903,1,6,0,1
R0904,1,7,0,1
R0904,2,8,0,1
R0905,1,9,0,1
R0906,1,10,0,1
R0906,2,11,0,1
R0907,1,12,0,1
R0907,2,13,0,1
R0908,1,14,0,1
R0909,1,4,0,1
R0909,2,5,0,1
R1001,1,1,0,1
R1001,2,2,0,1
R1001,3,3,0,1
R1002,1,4,0,1
R1002,2,5,0,1
R1003,1,6,0,1
R1004,1,7,0,1
R1004,2,8,0,1
R1005,1,9,0,1
R1006,1,10,0,1
R1006,2,11,0,1
R1007,1,12,0,1
R1007,2,13,0,1
R1008,1,14,0,1
R1009,1,4,0,1
R1009,2,5,0,1
R1101,1,1,0,1
R1101,2,2,0,1
R1101,3,3,0,1
R1102,1,4,0,1
R1102,2,5,0,1
R1103,1,6,0,1
R1104,1,7,0,1
R1104,2,8,0,1
R1105,1,9,0,1
R1106,1,10,0,1
R1106,2,11,0,1
R1107,1,12,0,1
R1107,2,13,0,1
R1108,1,14,0,1
R1109,1,4,0,1
R1109,2,5,0,1
R1201,1,1,0,1
R1201,2,2,0,1
R1201,3,3,0,1
R1202,1,4,0,1
R1202,2,5,0,1
R1203,1,6,0,1
R1204,1,7,0,1
R1204,2,8,0,1
R1205,1,9,0,1
R1206,1,10,0,1
R1206,2,11,0,1
R1207,1,12,0,1
R1207,2,13,0,1
R1208,1,14,0,1
R1209,1,4,0,1
R1209,2,5,0,1
R1301,1,1,0,1
R1301,2,2,0,1
R1301,3,3,0,1
R1302,1,4,0,1
R1302,2,5,0,1
R1303,1,6,0,1
R1304,1,7,0,1
R1304,2,8,0,1
R1305,1,9,0,1
R1306,1,10,0,1
R1306,2,11,0,1
R1307,1,12,0,1
R1307,2,13,0,1
R1308,1,14,0,1
R1309,1,4,0,1
R1309,2,5,0,1
R1401,1,1,0,1
R1401,2,2,0,1
R1401,3,3,0,1
R1402,1,4,0,1
R1402,2,5,0,1
R1403,1,6,0,1
R1404,1,7,0,1
R1404,2,8,0,1
R1405,1,9,0,1
R1406,1,10,0,1
R1406,2,11,0,1
R1407,1,12,0,1
R1407,2,13,0,1
R1408,1,14,0,1
R1409,1,4,0,1
R1409,2,5,0,1
R1501,1,1,0,1
R1501,2,2,0,1
R1501,3,3,0,1
R1502,1,4,0,1
R1502,2,5,0,1
R1503,1,6,0,1
R1504,1,7,0,1
R1504,2,8,0,1
R1505,1,9,0,1
R1506,1,10,0,1
R1506,2,11,0,1
R1507,1,12,0,1
R1507,2,13,0,1
R1508,1,14,0,1
R1509,1,4,0,1
R1509,2,5,0,1
R1601,1,1,0,1
R1601,2,2,0,1
R1601,3,3,0,1
R1602,1,4,0,1
R1602,2,5,0,1
R1603,1,6,0,1
R1604,1,7,0,1
R1604,2,8,0,1
R1605,1,9,0,1
R1606,1,10,0,1
R1606,2,11,0,1
R1607,1,12,0,1
R1607,2,13,0,1
R1608,1,14,0,1
R1609,1,4,0,1
R1609,2,5,0,1
R1701,1,1,0,1
R1701,2,2,0,1
R1701,3,3,0,1
R1702,1,4,0,1
R1702,2,5,0,1
R1703,1,6,0,1
R1704,1,7,0,1
R1704,2,8,0,1
R1705,1,9,0,1
R1706,1,10,0,1
R1706,2,11,0,1
R1707,1,12,0,1
R1707,2,13,0,1
R1708,1,14,0,1
R1709,1,4,0,1
R1709,2,5,0,1
R1801,1,1,0,1
R1801,2,2,0,1
R1801,3,3,0,1
R1802,1,4,0,1
R1802,2,5,0,1
R1803,1,6,0,1
R1804,1,7,0,1
R1804,2,8,0,1
R1805,1,9,0,1
R1806,1,10,0,1
R1806,2,11,0,1
R1807,1,12,0,1
R1807,2,13,0,1
R1808,1,14,0,1
R1809,1,4,0,1
R1809,2,5,0,1
R1901,1,1,0,1
R1901,2,2,0,1
R1901,3,3,0,1
R1902,1,4,0,1
R1902,2,5,0,1
R1903,1,6,0,1
R1904,1,7,0,1
R1904,2,8,0,1
R1905,1,9,0,1
R1906,1,10,0,1
R1906,2,11,0,1
R1907,1,12,0,1
R1907,2,13,0,1
R1908,1,14,0,1
R1909,1,4,0,1
R1909,2,5,0,1
R2001,1,1,0,1
R2001,2,2,0,1
R2001,3,3,0,1
R2002,1,4,0,1
R2002,2,5,0,1
R2003,1,6,0,1
R2004,1,7,0,1
R2004,2,8,0,1
R2005,1,9,0,1
R2006,1,10,0,1
R2006,2,11,0,1
R2007,1,12,0,1
R2007,2,13,0,1
R2008,1,14,0,1
R2009,1,4,0,1
R2009,2,5,0,1
R2101,1,1,0,1
R2101,2,2,0,1
R2101,3,3,0,1
R2102,1,4,0,1
R2102,2,5,0,1
R2103,1,6,0,1
R2104,1,7,0,1
R2104,2,8,0,1
R2105,1,9,0,1
R2106,1,10,0,1
R2106,2,11,0,1
R2107,1,12,0,1
R2107,2,13,0,1
R2108,1,14,0,1
R2109,1,4,0,1
R2109,2,5,0,1
R2201,1,1,0,1
R2201,2,2,0,1
R2201,3,3,0,1
R2202,1,4,0,1
R2202,2,5,0,1
R2203,1,6,0,1
R2204,1,7,0,1
R2204,2,8,0,1
R2205,1,9,0,1
R2206,1,10,0,1
R2206,2,11,0,1
R2207,1,12,0,1
R2207,2,13,0,1
R2208,1,14,0,1
R2209,1,4,0,1
R2209,2,5,0,1
R2301,1,1,0,1
R2301,2,2,0,1
R2301,3,3,0,1
R2302,1,4,0,1
R2302,2,5,0,1
R2303,1,6,0,1
R2304,1,7,0,1
R2304,2,8,0,1
R2305,1,9,0,1
R2306,1,10,0,1
R2306,2,11,0,1
R2307,1,12,0,1
R2307,2,13,0,1
R2308,1,14,0,1
R2309,1,4,0,1
R2309,2,5,0,1
R2401,1,1,0,1
R2401,2,2,0,1
R2401,3,3,0,1
R2402,1,4,0,1
R2402,2,5,0,1
R2403,1,6,0,1
R2404,1,7,0,1
R2404,2,8,0,1
R2405,1,9,0,1
R2406,1,10,0,1
R2406,2,11,0,1
R2407,1,12,0,1
R2407,2,13,0,1
R2408,1,14,0,1
R2409,1,4,0,1
R2409,2,5,0,1
R2501,1,1,0,1
R2501,2,2,0,1
R2501,3,3,0,1
R2502,1,4,0,1
R2502,2,5,0,1
R2503,1,6,0,1
R2504,1,7,0,1
R2504,2,8,0,1
R2505,1,9,0,1
R2506,1,10,0,1
R2506,2,11,0,1
R2507,1,12,0,1
R2507,2,13,0,1
R2508,1,14,0,1
R2509,1,4,0,1
R2509,2,5,0,1
R2601,1,1,0,1
R2601,2,2,0,1
R2601,3,3,0,1
R2602,1,4,0,1
R2602,2,5,0,1
R2603,1,6,0,1
R2604,1,7,0,1
R2604,2,8,0,1
R2605,1,9,0,1
R2606,1,10,0,1
R2606,2,11,0,1
R2607,1,12,0,1
R2607,2,13,0,1
R2608,1,14,0,1
R2609,1,4,0,1
R2609,2,5,0,1
R2701,1,1,0,1
R2701,2,2,0,1
R2701,3,3,0,1
R2702,1,4,0,1
R2702,2,5,0,1
R2703,1,6,0,1
R2704,1,7,0,1
R2704,2,8,0,1
R2705,1,9,0,1
R2706,1,10,0,1
R2706,2,11,0,1
R2707,1,12,0,1
R2707,2,13,0,1
R2708,1,14,0,1
R2709,1,4,0,1
R2709,2,5,0,1
R2801,1,1,0,1
R2801,2,2,0,1
R2801,3,3,0,1
R2802,1,4,0,1
R2802,2,5,0,1
R2803,1,6,0,1
R2804,1,7,0,1
R2804,2,8,0,1
R2805,1,9,0,1
R2806,1,10,0,1
R2806,2,11,0,1
R2807,1,12,0,1
R2807,2,13,0,1
R2808,1,14,0,1
R2809,1,4,0,1
R2809,2,5,0,1
R2901,1,1,0,1
R2901,2,2,0,1
R2901,3,3,0,1
R2902,1,4,0,1
R2902,2,5,0,1
R2903,1,6,0,1
R2904,1,7,0,1
R2904,2,8,0,1
R2905,1,9,0,1
R2906,1,10,0,1
R2906,2,11,0,1
R2907,1,12,0,1
R2907,2,13,0,1
R2908,1,14,0,1
R2909,1,4,0,1
R2909,2,5,0,1
R3001,1,1,0,1
R3001,2,2,0,1
R3001,3,3,0,1
R3002,1,4,0,1
R3002,2,5,0,1
R3003,1,6,0,1
R3004,1,7,0,1
R3004,2,8,0,1
R3005,1,9,0,1
R3006,1,10,0,1
R3006,2,11,0,1
R3007,1,12,0,1
R3007,2,13,0,1
R3008,1,14,0,1
R3009,1,4,0,1
R3009,2,5,0,1
R3101,1,1,0,1
R3101,2,2,0,1
R3101,3,3,0,1
R3102,1,4,0,1
R3102,2,5,0,1
R3103,1,6,0,1
R3104,1,7,0,1
R3104,2,8,0,1
R3105,1,9,0,1
R3106,1,10,0,1
R3106,2,11,0,1
R3107,1,12,0,1
R3107,2,13,0,1
R3108,1,14,0,1
R3109,1,4,0,1
R3109,2,5,0,1
R3201,1,1,0,1
R3201,2,2,0,1
R3201,3,3,0,1
R3202,1,4,0,1
R3202,2,5,0,1
R3203,1,6,0,1
R3204,1,7,0,1
R3204,2,8,0,1
R3205,1,9,0,1
R3206,1,10,0,1
R3206,2,11,0,1
R3207,1,12,0,1
R3207,2,13,0,1
R3208,1,14,0,1
R3209,1,4,0,1
R3209,2,5,0,1
R3301,1,1,0,1
R3301,2,2,0,1
R3301,3,3,0,1
R3302,1,4,0,1
R3302,2,5,0,1
R3303,1,6,0,1
R3304,1,7,0,1
R3304,2,8,0,1
R3305,1,9,0,1
R3306,1,10,0,1
R3306,2,11,0,1
R3307,1,12,0,1
R3307,2,13,0,1
R3308,1,14,0,1
R3309,1,4,0,1
R3309,2,5,0,1
R3401,1,1,0,1
R3401,2,2,0,1
R3401,3,3,0,1
R3402,1,4,0,1
R3402,2,5,0,1
R3403,1,6,0,1
R3404,1,7,0,1
R3404,2,8,0,1
R3405,1,9,0,1
R3406,1,10,0,1
R3406,2,11,0,1
R3407,1,12,0,1
R3407,2,13,0,1
R3408,1,14,0,1
R3409,1,4,0,1
R3409,2,5,0,1
R3501,1,1,0,1
R3501,2,2,0,1
R3501,3,3,0,1
R3502,1,4,0,1
R3502,2,5,0,1
R3503,1,6,0,1
R3504,1,7,0,1
R3504,2,8,0,1
R3505,1,9,0,1
R3506,1,10,0,1
R3506,2,11,0,1
R3507,1,12,0,1
R3507,2,13,0,1
R3508,1,14,0,1
R3509,1,4,0,1
R3509,2,5,0,1
R3601,1,1,0,1
R3601,2,2,0,1
R3601,3,3,0,1
R3602,1,4,0,1
R3602,2,5,0,1
R3603,1,6,0,1
R3604,1,7,0,1
R3604,2,8,0,1
R3605,1,9,0,1
R3606,1,10,0,1
R3606,2,11,0,1
R3607,1,12,0,1
R3607,2,13,0,1
R3608,1,14,0,1
R3609,1,4,0,1
R3609,2,5,0,1
R3701,1,1,0,1
R3701,2,2,0,1
R3701,3,3,0,1
R3702,1,4,0,1
R3702,2,5,0,1
R3703,1,6,0,1
R3704,1,7,0,1
R3704,2,8,0,1
R3705,1,9,0,1
R3706,1,10,0,1
R3706,2,11,0,1
R3707,1,12,0,1
R3707,2,13,0,1
R3708,1,14,0,1
R3709,1,4,0,1
R3709,2,5,0,1
R3801,1,1,0,1
R3801,2,2,0,1
R3801,3,3,0,1
R3802,1,4,0,1
R3802,2,5,0,1
R3803,1,6,0,1
R3804,1,7,0,1
R3804,2,8,0,1
R3805,1,9,0,1
R3806,1,10,0,1
R3806,2,11,0,1
R3807,1,12,0,1
R3807,2,13,0,1
R3808,1,14,0,1
R3809,1,4,0,1
R3809,2,5,0,1
R3901,1,1,0,1
R3901,2,2,0,1
R3901,3,3,0,1
R3902,1,4,0,1
R3902,2,5,0,1
R3903,1,6,0,1
R3904,1,7,0,1
R3904,2,8,0,1
R3905,1,9,0,1
R3906,1,10,0,1
R3906,2,11,0,1
R3907,1,12,0,1
R3907,2,13,0,1
R3908,1,14,0,1
R3909,1,4,0,1
R3909,2,5,0,1
R4001,1,1,0,1
R4001,2,2,0,1
R4001,3,3,0,1
R4002,1,4,0,1
R4002,2,5,0,1
R4003,1,6,0,1
R4004,1,7,0,1
R4004,2,8,0,1
R4005,1,9,0,1
R4006,1,10,0,1
R4006,2,11,0,1
R4007,1,12,0,1
R4007,2,13,0,1
R4008,1,14,0,1
R4009,1,4,0,1
R4009,2,5,0,1
R4101,1,1,0,1
R4101,2,2,0,1
R4101,3,3,0,1
R4102,1,4,0,1
R4102,2,5,0,1
R4103,1,6,0,1
R4104,1,7,0,1
R4104,2,8,0,1
R4105,1,9,0,1
R4106,1,10,0,1
R4106,2,11,0,1
R4107,1,12,0,1
R4107,2,13,0,1
R4108,1,14,0,1
R4109,1,4,0,1
R4109,2,5,0,1
R4201,1,1,0,1
R4201,2,2,0,1
R4201,3,3,0,1
R4202,1,4,0,1
R4202,2,5,0,1
R4203,1,6,0,1
R4204,1,7,0,1
R4204,2,8,0,1
R4205,1,9,0,1
R4206,1,10,0,1
R4206,2,11,0,1
R4207,1,12,0,1
R4207,2,13,0,1
R4208,1,14,0,1
R4209,1,4,0,1
R4209,2,5,0,1
R4301,1,1,0,1
R4301,2,2,0,1
R4301,3,3,0,1
R4302,1,4,0,1
R4302,2,5,0,1
R4303,1,6,0,1
R4304,1,7,0,1
R4304,2,8,0,1
R4305,1,9,0,1
R4306,1,10,0,1
R4306,2,11,0,1
R4307,1,12,0,1
R4307,2,13,0,1
R4308,1,14,0,1
R4309,1,4,0,1
R4309,2,5,0,1
R4401,1,1,0,1
R4401,2,2,0,1
R4401,3,3,0,1
R4402,1,4,0,1
R4402,2,5,0,1
R4403,1,6,0,1
R4404,1,7,0,1
R4404,2,8,0,1
R4405,1,9,0,1
R4406,1,10,0,1
R4406,2,11,0,1
R4407,1,12,0,1
R4407,2,13,0,1
R4408,1,14,0,1
R4409,1,4,0,1
R4409,2,5,0,1
R4501,1,1,0,1
R4501,2,2,0,1
R4501,3,3,0,1
R4502,1,4,0,1
R4502,2,5,0,1
R4503,1,6,0,1
R4504,1,7,0,1
R4504,2,8,0,1
R4505,1,9,0,1
R4506,1,10,0,1
R4506,2,11,0,1
R4507,1,12,0,1
R4507,2,13,0,1
R4508,1,14,0,1
R4509,1,4,0,1
R4509,2,5,0,1
R4601,1,1,0,1
R4601,2,2,0,1
R4601,3,3,0,1
R4602,1,4,0,1
R4602,2,5,0,1
R4603,1,6,0,1
R4604,1,7,0,1
R4604,2,8,0,1
R4605,1,9,0,1
R4606,1,10,0,1
R4606,2,11,0,1
R4607,1,12,0,1
R4607,2,13,0,1
R4608,1,14,0,1
R4609,1,4,0,1
R4609,2,5,0,1
R4701,1,1,0,1
R4701,2,2,0,1
R4701,3,3,0,1
R4702,1,4,0,1
R4702,2,5,0,1
R4703,1,6,0,1
R4704,1,7,0,1
R4704,2,8,0,1
R4705,1,9,0,1
R4706,1,10,0,1
R4706,2,11,0,1
R4707,1,12,0,1
R4707,2,13,0,1
R4708,1,14,0,1
R4709,1,4,0,1
R4709,2,5,0,1
R4801,1,1,0,1
R4801,2,2,0,1
R4801,3,3,0,1
R4802,1,4,0,1
R4802,2,5,0,1
R4803,1,6,0,1
R4804,1,7,0,1
R4804,2,8,0,1
