activity_id,week,location_id,co_share_group
R0101,1,PLAT:LSX:J1B:EB,g1
R0101,1,PLAT:LSX:N1C:EB,g1
R0101,1,SEC:LSX:J1B_N1C:EB,g1
R0101,2,PLAT:LSX:J1B:EB,g1
R0101,2,PLAT:LSX:N1C:EB,g1
R0101,2,SEC:LSX:J1B_N1C:EB,g1
R0102,4,PLAT:LSX:N1C:WB,g1
R0102,4,PLAT:LSX:N1D:WB,g1
R0102,4,SEC:LSX:N1C_N1D:WB,g1
R0102,5,PLAT:LSX:N1C:WB,g1
R0102,5,PLAT:LSX:N1D:WB,g1
R0102,5,SEC:LSX:N1C_N1D:WB,g1
R0103,6,PLAT:LSX:J1A:EB,g1
R0103,6,PLAT:LSX:J1B:EB,g1
R0103,6,SEC:LSX:J1A_J1B:EB,g1
R0104,7,PLAT:LSY:J1B:WB,g1
R0104,7,PLAT:LSY:S1C:WB,g1
R0104,7,PLAT:LSY:S1D:WB,g1
R0104,7,SEC:LSY:J1B_S1C:WB,g1
R0104,7,SEC:LSY:S1C_S1D:WB,g1
R0104,8,PLAT:LSY:J1B:WB,g1
R0104,8,PLAT:LSY:S1C:WB,g1
R0104,8,PLAT:LSY:S1D:WB,g1
R0104,8,SEC:LSY:J1B_S1C:WB,g1
R0104,8,SEC:LSY:S1C_S1D:WB,g1
R0105,9,PLAT:LSY:S1C:WB,g1
R0105,9,PLAT:LSY:S1D:WB,g1
R0105,9,SEC:LSY:S1C_S1D:WB,g1
R0106,10,PLAT:LSY:J1A:EB,g1
R0106,10,PLAT:LSY:J1B:EB,g1
R0106,10,SEC:LSY:J1A_J1B:EB,g1
R0106,11,PLAT:LSY:J1A:EB,g1
R0106,11,PLAT:LSY:J1B:EB,g1
R0106,11,SEC:LSY:J1A_J1B:EB,g1
R0107,12,PLAT:LSX:J1B:WB,g1
R0107,12,PLAT:LSX:N1C:WB,g1
R0107,12,PLAT:LSX:N1D:WB,g1
R0107,12,SEC:LSX:J1B_N1C:WB,g1
R0107,12,SEC:LSX:N1C_N1D:WB,g1
R0107,13,PLAT:LSX:J1B:WB,g1
R0107,13,PLAT:LSX:N1C:WB,g1
R0107,13,PLAT:LSX:N1D:WB,g1
R0107,13,SEC:LSX:J1B_N1C:WB,g1
