activity_id,week,location_id,co_share_group
Q001,1,PLAT:LNX:N3:EB,g1
Q001,1,PLAT:LNX:X2:EB,g1
Q001,1,SEC:LNX:X2_N3:EB,g1
Q001,2,PLAT:LNX:N3:EB,g1
Q001,2,PLAT:LNX:X2:EB,g1
Q001,2,SEC:LNX:X2_N3:EB,g1
Q002,4,PLAT:LNX:N3:WB,g1
Q002,4,PLAT:LNX:N4:WB,g1
Q002,4,SEC:LNX:N3_N4:WB,g1
Q002,5,PLAT:LNX:N3:WB,g1
Q002,5,PLAT:LNX:N4:WB,g1
Q002,5,SEC:LNX:N3_N4:WB,g1
Q003,6,PLAT:LNX:X1:EB,g1
Q003,6,PLAT:LNX:X2:EB,g1
Q003,6,SEC:LNX:X1_X2:EB,g1
Q004,7,PLAT:LNY:S3:WB,g1
Q004,7,PLAT:LNY:S4:WB,g1
Q004,7,PLAT:LNY:X2:WB,g1
Q004,7,SEC:LNY:S3_S4:WB,g1
Q004,7,SEC:LNY:X2_S3:WB,g1
Q004,8,PLAT:LNY:S3:WB,g1
Q004,8,PLAT:LNY:S4:WB,g1
Q004,8,PLAT:LNY:X2:WB,g1
Q004,8,SEC:LNY:S3_S4:WB,g1
Q004,8,SEC:LNY:X2_S3:WB,g1
Q005,9,PLAT:LNY:S3:WB,g1
Q005,9,PLAT:LNY:S4:WB,g1
Q005,9,SEC:LNY:S3_S4:WB,g1
Q006,10,PLAT:LNY:X1:EB,g1
Q006,10,PLAT:LNY:X2:EB,g1
Q006,10,SEC:LNY:X1_X2:EB,g1
Q006,11,PLAT:LNY:X1:EB,g1
Q006,11,PLAT:LNY:X2:EB,g1
Q006,11,SEC:LNY:X1_X2:EB,g1
Q007,12,PLAT:LNX:N3:WB,g1
Q007,12,PLAT:LNX:N4:WB,g1
Q007,12,PLAT:LNX:X2:WB,g1
Q007,12,SEC:LNX:N3_N4:WB,g1
Q007,12,SEC:LNX:X2_N3:WB,g1
Q007,13,PLAT:LNX:N3:WB,g1
Q007,13,PLAT:LNX:N4:WB,g1
Q007,13,PLAT:LNX:X2:WB,g1
Q007,13,SEC:LNX:N3_N4:WB,g1
Q007,13,SEC:LNX:X2_N3:WB,g1
Q008,14,PLAT:LNY:S3:EB,g1
Q008,14,PLAT:LNY:S4:EB,g1
Q008,14,SEC:LNY:S3_S4:EB,g1
Q009,4,PLAT:LNX:N3:WB,g1
Q009,4,PLAT:LNX:N4:WB,g1
Q009,4,SEC:LNX:N3_N4:WB,g1
Q009,5,PLAT:LNX:N3:WB,g1
Q009,5,PLAT:LNX:N4:WB,g1
Q009,5,SEC:LNX:N3_N4:WB,g1
Q010,15,PLAT:LNZ:Z3:EB,g1
Q010,15,PLAT:LNZ:Z4:EB,g1
Q010,15,SEC:LNZ:Z3_Z4:EB,g1
