activity_id,week,location_id,co_share_group
MY1,1,PLAT:MPY:MPY1:EB,g1
MY1,1,PLAT:MPY:MPY2:EB,g1
MY1,1,SEC:MPY:MPY1_MPY2:EB,g1
MY1,2,PLAT:MPY:MPY1:EB,g1
MY1,2,PLAT:MPY:MPY2:EB,g1
MY1,2,SEC:MPY:MPY1_MPY2:EB,g1
MY1,3,PLAT:MPY:MPY1:EB,g1
MY1,3,PLAT:MPY:MPY2:EB,g1
MY1,3,SEC:MPY:MPY1_MPY2:EB,g1
MY2,4,PLAT:MPY:MPY1:EB,g1
MY2,4,PLAT:MPY:MPY2:EB,g1
MY2,4,SEC:MPY:MPY1_MPY2:EB,g1
MY2,5,PLAT:MPY:MPY1:EB,g1
MY2,5,PLAT:MPY:MPY2:EB,g1
MY2,5,SEC:MPY:MPY1_MPY2:EB,g1
MY2,6,PLAT:MPY:MPY1:EB,g1
MY2,6,PLAT:MPY:MPY2:EB,g1
MY2,6,SEC:MPY:MPY1_MPY2:EB,g1
MY2,7,PLAT:MPY:MPY1:EB,g1
MY2,7,PLAT:MPY:MPY2:EB,g1
MY2,7,SEC:MPY:MPY1_MPY2:EB,g1
