activity_id,week,location_id,co_share_group
Z503,1,PLAT:L04:N013:EB,g3
Z503,1,PLAT:L04:N021:EB,g7
Z503,1,SEC:L04:N013_N021:EB,g5
Z507,1,PLAT:L04:N013:EB,g2
Z507,1,PLAT:L04:N021:EB,g6
Z507,1,SEC:L04:N013_N021:EB,g7
Z508,1,PLAT:L04:N013:EB,g3
Z508,1,PLAT:L04:N021:EB,g4
Z508,1,SEC:L04:N013_N021:EB,g1
Z509,1,PLAT:L04:N013:EB,g4
Z509,1,PLAT:L04:N021:EB,g2
Z509,1,SEC:L04:N013_N021:EB,g6
Z510,1,PLAT:L04:N013:EB,g7
Z510,1,PLAT:L04:N021:EB,g5
Z510,1,SEC:L04:N013_N021:EB,g5
Z511,1,PLAT:L04:N013:EB,g1
Z511,1,PLAT:L04:N021:EB,g5
Z511,1,SEC:L04:N013_N021:EB,g1
Z516,1,PLAT:L04:N013:EB,g1
Z516,1,PLAT:L04:N021:EB,g1
Z516,1,SEC:L04:N013_N021:EB,g3
Z518,1,PLAT:L04:N013:EB,g5
Z518,1,PLAT:L04:N021:EB,g7
Z518,1,SEC:L04:N013_N021:EB,g4
Z519,1,PLAT:L04:N013:EB,g1
Z519,1,PLAT:L04:N021:EB,g6
Z519,1,SEC:L04:N013_N021:EB,g5
Z522,1,PLAT:L04:N013:EB,g4
Z522,1,PLAT:L04:N021:EB,g5
Z522,1,SEC:L04:N013_N021:EB,g4
Z532,1,PLAT:L04:N013:EB,g6
Z532,1,PLAT:L04:N021:EB,g3
Z532,1,SEC:L04:N013_N021:EB,g2
Z535,1,PLAT:L04:N013:EB,g6
Z535,1,PLAT:L04:N021:EB,g7
Z535,1,SEC:L04:N013_N021:EB,g1
Z538,1,PLAT:L04:N013:EB,g5
Z538,1,PLAT:L04:N021:EB,g7
Z538,1,SEC:L04:N013_N021:EB,g7
