activity_id,week,location_id,co_share_group
Z503,1,PLAT:L04:N013:EB,g1
Z503,1,PLAT:L04:N021:EB,g1
Z503,1,SEC:L04:N013_N021:EB,g1
Z507,1,PLAT:L04:N013:EB,g1
Z507,1,PLAT:L04:N021:EB,g1
Z507,1,SEC:L04:N013_N021:EB,g1
Z508,1,PLAT:L04:N013:EB,g2
Z508,1,PLAT:L04:N021:EB,g2
Z508,1,SEC:L04:N013_N021:EB,g2
Z509,1,PLAT:L04:N013:EB,g3
Z509,1,PLAT:L04:N021:EB,g3
Z509,1,SEC:L04:N013_N021:EB,g3
Z510,1,PLAT:L04:N013:EB,g4
Z510,1,PLAT:L04:N021:EB,g4
Z510,1,SEC:L04:N013_N021:EB,g4
Z511,1,PLAT:L04:N013:EB,g1
Z511,1,PLAT:L04:N021:EB,g1
Z511,1,SEC:L04:N013_N021:EB,g1
Z516,1,PLAT:L04:N013:EB,g5
Z516,1,PLAT:L04:N021:EB,g5
Z516,1,SEC:L04:N013_N021:EB,g5
Z518,1,PLAT:L04:N013:EB,g6
Z518,1,PLAT:L04:N021:EB,g6
Z518,1,SEC:L04:N013_N021:EB,g6
Z519,1,PLAT:L04:N013:EB,g1
Z519,1,PLAT:L04:N021:EB,g1
Z519,1,SEC:L04:N013_N021:EB,g1
Z522,1,PLAT:L04:N013:EB,g2
Z522,1,PLAT:L04:N021:EB,g2
Z522,1,SEC:L04:N013_N021:EB,g2
Z532,1,PLAT:L04:N013:EB,g7
Z532,1,PLAT:L04:N021:EB,g7
Z532,1,SEC:L04:N013_N021:EB,g7
Z535,1,PLAT:L04:N013:EB,g2
Z535,1,PLAT:L04:N021:EB,g2
Z535,1,SEC:L04:N013_N021:EB,g2
Z538,1,PLAT:L04:N013:EB,g2
Z538,1,PLAT:L04:N021:EB,g2
Z538,1,SEC:L04:N013_N021:EB,g2
