activity_id,week,location_id,co_share_group
Z504,1,PLAT:L02:N009:EB,g2
Z504,1,PLAT:L02:N015:EB,g2
Z504,1,PLAT:L02:N019:EB,g1
Z504,1,SEC:L02:N009_N015:EB,g1
Z504,1,SEC:L02:N019_N009:EB,g1
Z504,2,PLAT:L02:N009:EB,g2
Z504,2,PLAT:L02:N015:EB,g2
Z504,2,PLAT:L02:N019:EB,g1
Z504,2,SEC:L02:N009_N015:EB,g1
Z504,2,SEC:L02:N019_N009:EB,g1
Z514,1,PLAT:L02:N014:EB,g1
Z514,1,PLAT:L02:N017:EB,g1
Z514,1,SEC:L02:N014_N017:EB,g1
Z514,2,PLAT:L02:N014:EB,g1
Z514,2,PLAT:L02:N017:EB,g1
Z514,2,SEC:L02:N014_N017:EB,g1
Z520,1,PLAT:L02:N009:EB,g2
Z520,1,PLAT:L02:N014:EB,g2
Z520,1,PLAT:L02:N015:EB,g2
Z520,1,SEC:L02:N009_N015:EB,g1
Z520,1,SEC:L02:N015_N014:EB,g1
Z520,2,PLAT:L02:N009:EB,g2
Z520,2,PLAT:L02:N014:EB,g2
Z520,2,PLAT:L02:N015:EB,g2
Z520,2,SEC:L02:N009_N015:EB,g1
Z520,2,SEC:L02:N015_N014:EB,g1
Z523,1,PLAT:L02:N014:EB,g2
Z523,1,PLAT:L02:N015:EB,g2
Z523,1,PLAT:L02:N017:EB,g1
Z523,1,SEC:L02:N014_N017:EB,g1
Z523,1,SEC:L02:N015_N014:EB,g1
Z523,2,PLAT:L02:N014:EB,g2
Z523,2,PLAT:L02:N015:EB,g2
Z523,2,PLAT:L02:N017:EB,g1
Z523,2,SEC:L02:N014_N017:EB,g1
Z523,2,SEC:L02:N015_N014:EB,g1
Z524,1,PLAT:L02:N009:EB,g2
Z524,1,PLAT:L02:N015:EB,g1
Z524,1,SEC:L02:N009_N015:EB,g1
Z524,2,PLAT:L02:N009:EB,g1
Z524,2,PLAT:L02:N015:EB,g2
Z524,2,SEC:L02:N009_N015:EB,g1
Z528,1,PLAT:L02:N009:EB,g1
Z528,1,PLAT:L02:N019:EB,g1
Z528,1,SEC:L02:N019_N009:EB,g1
Z528,2,PLAT:L02:N009:EB,g2
Z528,2,PLAT:L02:N019:EB,g1
Z528,2,SEC:L02:N019_N009:EB,g1
Z530,1,PLAT:L02:N014:EB,g2
Z530,1,PLAT:L02:N015:EB,g2
Z530,1,SEC:L02:N015_N014:EB,g1
Z530,2,PLAT:L02:N014:EB,g2
Z530,2,PLAT:L02:N015:EB,g1
Z530,2,SEC:L02:N015_N014:EB,g1
