activity_id,week,location_id,co_share_group
Z501,7,PLAT:L01:N004:WB,g1
Z501,7,PLAT:L01:N008:WB,g1
Z501,7,PLAT:L01:N010:WB,g1
Z501,7,SEC:L01:N004_N010:WB,g1
Z501,7,SEC:L01:N008_N004:WB,g1
Z501,8,PLAT:L01:N004:WB,g1
Z501,8,PLAT:L01:N008:WB,g1
Z501,8,PLAT:L01:N010:WB,g1
Z501,8,SEC:L01:N004_N010:WB,g1
Z501,8,SEC:L01:N008_N004:WB,g1
Z502,9,PLAT:L01:N004:WB,g1
Z502,9,PLAT:L01:N010:WB,g1
Z502,9,SEC:L01:N004_N010:WB,g1
Z526,10,PLAT:L01:N008:EB,g1
Z526,10,PLAT:L01:N016:EB,g1
Z526,10,SEC:L01:N016_N008:EB,g1
Z526,11,PLAT:L01:N008:EB,g1
Z526,11,PLAT:L01:N016:EB,g1
Z526,11,SEC:L01:N016_N008:EB,g1
Z534,14,PLAT:L01:N004:EB,g1
Z534,14,PLAT:L01:N010:EB,g1
Z534,14,SEC:L01:N004_N010:EB,g1
