sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:L01:N016_N008,L01,N016,N008,1,1
SEC:L01:N008_N004,L01,N008,N004,2,0
SEC:L07:N001_N002,L07,N001,N002,3,0
SEC:L04:N013_N021,L04,N013,N021,1,0
SEC:L05:N012_N005,L05,N012,N005,1,0
SEC:L02:N015_N014,L02,N015,N014,3,0
SEC:L06:N016_N008,L06,N016,N008,1,1
SEC:L03:N007_N011,L03,N007,N011,2,0
SEC:L06:N008_N022,L06,N008,N022,2,0
SEC:L02:N009_N015,L02,N009,N015,2,0
SEC:L02:N019_N009,L02,N019,N009,1,0
SEC:L03:N011_N003,L03,N011,N003,3,0
SEC:L02:N017_N023,L02,N017,N023,5,0
SEC:L07:N007_N001,L07,N007,N001,2,0
SEC:L06:N022_N018,L06,N022,N018,3,0
SEC:L01:N004_N010,L01,N004,N010,3,0
SEC:L03:N006_N007,L03,N006,N007,1,1
SEC:L02:N023_N020,L02,N023,N020,6,0
SEC:L07:N006_N007,L07,N006,N007,1,1
SEC:L02:N014_N017,L02,N014,N017,4,0
