activity_id,week,location_id,co_share_group
Z503,1,PLAT:L04:N013:EB,g3
Z503,1,PLAT:L04:N021:EB,g4
Z503,1,SEC:L04:N013_N021:EB,g6
Z507,1,PLAT:L04:N013:EB,g1
Z507,1,PLAT:L04:N021:EB,g4
Z507,1,SEC:L04:N013_N021:EB,g2
Z508,1,PLAT:L04:N013:EB,g6
Z508,1,PLAT:L04:N021:EB,g1
Z508,1,SEC:L04:N013_N021:EB,g6
Z509,1,PLAT:L04:N013:EB,g3
Z509,1,PLAT:L04:N021:EB,g3
Z509,1,SEC:L04:N013_N021:EB,g5
Z510,1,PLAT:L04:N013:EB,g5
Z510,1,PLAT:L04:N021:EB,g2
Z510,1,SEC:L04:N013_N021:EB,g4
Z511,1,PLAT:L04:N013:EB,g2
Z511,1,PLAT:L04:N021:EB,g1
Z511,1,SEC:L04:N013_N021:EB,g6
Z516,1,PLAT:L04:N013:EB,g2
Z516,1,PLAT:L04:N021:EB,g6
Z516,1,SEC:L04:N013_N021:EB,g1
Z518,1,PLAT:L04:N013:EB,g4
Z518,1,PLAT:L04:N021:EB,g5
Z518,1,SEC:L04:N013_N021:EB,g3
Z519,1,PLAT:L04:N013:EB,g3
Z519,1,PLAT:L04:N021:EB,g2
Z519,1,SEC:L04:N013_N021:EB,g3
Z522,1,PLAT:L04:N013:EB,g1
Z522,1,PLAT:L04:N021:EB,g1
Z522,1,SEC:L04:N013_N021:EB,g3
Z532,2,PLAT:L04:N013:EB,g1
Z532,2,PLAT:L04:N021:EB,g1
Z532,2,SEC:L04:N013_N021:EB,g1
Z535,1,PLAT:L04:N013:EB,g4
Z535,1,PLAT:L04:N021:EB,g4
Z535,1,SEC:L04:N013_N021:EB,g1
Z538,1,PLAT:L04:N013:EB,g3
Z538,1,PLAT:L04:N021:EB,g4
Z538,1,SEC:L04:N013_N021:EB,g6
