activity_id,week,location_id,co_share_group
Z506,1,PLAT:L05:N005:EB,g1
Z506,1,PLAT:L05:N012:EB,g1
Z506,1,SEC:L05:N012_N005:EB,g1
Z506,2,PLAT:L05:N005:EB,g1
Z506,2,PLAT:L05:N012:EB,g1
Z506,2,SEC:L05:N012_N005:EB,g1
Z506,3,PLAT:L05:N005:EB,g1
Z506,3,PLAT:L05:N012:EB,g1
Z506,3,SEC:L05:N012_N005:EB,g1
Z513,1,PLAT:L05:N005:EB,g1
Z513,1,PLAT:L05:N012:EB,g1
Z513,1,SEC:L05:N012_N005:EB,g1
Z513,2,PLAT:L05:N005:EB,g1
Z513,2,PLAT:L05:N012:EB,g1
Z513,2,SEC:L05:N012_N005:EB,g1
Z521,1,PLAT:L05:N005:EB,g1
Z521,1,PLAT:L05:N012:EB,g1
Z521,1,SEC:L05:N012_N005:EB,g2
Z521,2,PLAT:L05:N005:EB,g1
Z521,2,PLAT:L05:N012:EB,g2
Z521,2,SEC:L05:N012_N005:EB,g1
Z521,3,PLAT:L05:N005:EB,g1
Z521,3,PLAT:L05:N012:EB,g1
Z521,3,SEC:L05:N012_N005:EB,g1
Z525,1,PLAT:L05:N005:EB,g2
Z525,1,PLAT:L05:N012:EB,g2
Z525,1,SEC:L05:N012_N005:EB,g2
Z525,2,PLAT:L05:N005:EB,g2
Z525,2,PLAT:L05:N012:EB,g2
Z525,2,SEC:L05:N012_N005:EB,g2
Z537,3,PLAT:L05:N005:EB,g1
Z537,3,PLAT:L05:N012:EB,g1
Z537,3,SEC:L05:N012_N005:EB,g1
Z537,4,PLAT:L05:N005:EB,g1
Z537,4,PLAT:L05:N012:EB,g1
Z537,4,SEC:L05:N012_N005:EB,g1
Z537,5,PLAT:L05:N005:EB,g1
Z537,5,PLAT:L05:N012:EB,g1
Z537,5,SEC:L05:N012_N005:EB,g1
Z539,1,PLAT:L05:N005:EB,g1
Z539,1,PLAT:L05:N012:EB,g1
Z539,1,SEC:L05:N012_N005:EB,g1
Z539,2,PLAT:L05:N005:EB,g1
Z539,2,PLAT:L05:N012:EB,g1
Z539,2,SEC:L05:N012_N005:EB,g1
Z539,3,PLAT:L05:N005:EB,g1
Z539,3,PLAT:L05:N012:EB,g1
Z539,3,SEC:L05:N012_N005:EB,g1
Z542,6,PLAT:L05:N005:EB,g1
Z542,6,PLAT:L05:N012:EB,g1
Z542,6,SEC:L05:N012_N005:EB,g1
Z542,7,PLAT:L05:N005:EB,g1
Z542,7,PLAT:L05:N012:EB,g1
Z542,7,SEC:L05:N012_N005:EB,g1
Z542,8,PLAT:L05:N005:EB,g1
Z542,8,PLAT:L05:N012:EB,g1
Z542,8,SEC:L05:N012_N005:EB,g1
