activity_id,week,location_id,co_share_group
Z506,1,PLAT:L05:N005:EB,g1
Z506,1,PLAT:L05:N012:EB,g1
Z506,1,SEC:L05:N012_N005:EB,g1
Z506,2,PLAT:L05:N005:EB,g1
Z506,2,PLAT:L05:N012:EB,g1
Z506,2,SEC:L05:N012_N005:EB,g1
Z506,3,PLAT:L05:N005:EB,g1
Z506,3,PLAT:L05:N012:EB,g1
Z506,3,SEC:L05:N012_N005:EB,g1
Z513,1,PLAT:L05:N005:EB,g1
Z513,1,PLAT:L05:N012:EB,g1
Z513,1,SEC:L05:N012_N005:EB,g1
Z513,2,PLAT:L05:N005:EB,g1
Z513,2,PLAT:L05:N012:EB,g1
Z513,2,SEC:L05:N012_N005:EB,g1
Z521,1,PLAT:L05:N005:EB,g1
Z521,1,PLAT:L05:N012:EB,g1
Z521,1,SEC:L05:N012_N005:EB,g1
Z521,2,PLAT:L05:N005:EB,g1
Z521,2,PLAT:L05:N012:EB,g1
Z521,2,SEC:L05:N012_N005:EB,g1
Z521,3,PLAT:L05:N005:EB,g1
Z521,3,PLAT:L05:N012:EB,g1
Z521,3,SEC:L05:N012_N005:EB,g1
Z525,3,PLAT:L05:N005:EB,g1
Z525,3,PLAT:L05:N012:EB,g1
Z525,3,SEC:L05:N012_N005:EB,g1
Z525,4,PLAT:L05:N005:EB,g1
Z525,4,PLAT:L05:N012:EB,g1
Z525,4,SEC:L05:N012_N005:EB,g1
Z525,5,PLAT:L05:N005:EB,g1
Z525,5,PLAT:L05:N012:EB,g1
Z525,5,SEC:L05:N012_N005:EB,g1
Z537,6,PLAT:L05:N005:EB,g1
Z537,6,PLAT:L05:N012:EB,g1
Z537,6,SEC:L05:N012_N005:EB,g1
Z537,7,PLAT:L05:N005:EB,g1
Z537,7,PLAT:L05:N012:EB,g1
Z537,7,SEC:L05:N012_N005:EB,g1
Z537,8,PLAT:L05:N005:EB,g1
Z537,8,PLAT:L05:N012:EB,g1
Z537,8,SEC:L05:N012_N005:EB,g1
Z539,1,PLAT:L05:N005:EB,g1
Z539,1,PLAT:L05:N012:EB,g1
Z539,1,SEC:L05:N012_N005:EB,g1
Z539,2,PLAT:L05:N005:EB,g1
Z539,2,PLAT:L05:N012:EB,g1
Z539,2,SEC:L05:N012_N005:EB,g1
Z539,3,PLAT:L05:N005:EB,g1
Z539,3,PLAT:L05:N012:EB,g1
Z539,3,SEC:L05:N012_N005:EB,g1
Z542,9,PLAT:L05:N005:EB,g1
Z542,9,PLAT:L05:N012:EB,g1
Z542,9,SEC:L05:N012_N005:EB,g1
Z542,10,PLAT:L05:N005:EB,g1
Z542,10,PLAT:L05:N012:EB,g1
Z542,10,SEC:L05:N012_N005:EB,g1
Z542,11,PLAT:L05:N005:EB,g1
Z542,11,PLAT:L05:N012:EB,g1
Z542,11,SEC:L05:N012_N005:EB,g1
