activity_id,week,location_id,co_share_group
Z512,6,PLAT:L06:N008:EB,g1
Z512,6,PLAT:L06:N016:EB,g1
Z512,6,SEC:L06:N016_N008:EB,g1
Z527,4,PLAT:L06:N018:WB,g1
Z527,4,PLAT:L06:N022:WB,g1
Z527,4,SEC:L06:N022_N018:WB,g1
Z527,5,PLAT:L06:N018:WB,g1
Z527,5,PLAT:L06:N022:WB,g1
Z527,5,SEC:L06:N022_N018:WB,g1
Z536,4,PLAT:L06:N018:WB,g1
Z536,4,PLAT:L06:N022:WB,g1
Z536,4,SEC:L06:N022_N018:WB,g1
Z536,5,PLAT:L06:N018:WB,g1
Z536,5,PLAT:L06:N022:WB,g1
Z536,5,SEC:L06:N022_N018:WB,g1
Z540,11,PLAT:L06:N008:WB,g1
Z540,11,PLAT:L06:N018:WB,g1
Z540,11,PLAT:L06:N022:WB,g1
Z540,11,SEC:L06:N008_N022:WB,g1
Z540,11,SEC:L06:N022_N018:WB,g1
Z540,12,PLAT:L06:N008:WB,g1
Z540,12,PLAT:L06:N018:WB,g1
Z540,12,PLAT:L06:N022:WB,g1
Z540,12,SEC:L06:N008_N022:WB,g1
Z540,12,SEC:L06:N022_N018:WB,g1
Z541,1,PLAT:L06:N008:EB,g1
Z541,1,PLAT:L06:N022:EB,g1
Z541,1,SEC:L06:N008_N022:EB,g1
Z541,2,PLAT:L06:N008:EB,g1
Z541,2,PLAT:L06:N022:EB,g1
Z541,2,SEC:L06:N008_N022:EB,g1
Z541,3,PLAT:L06:N008:EB,g1
Z541,3,PLAT:L06:N022:EB,g1
Z541,3,SEC:L06:N008_N022:EB,g1
