scenario,contract_number,simulated_completion_date,overrun_days
C,K501,2040-04-08,0
C,K502,2040-03-18,0
C,K509,2040-03-04,0
C,K503,2040-01-08,0
C,K504,2040-01-08,0
C,K506,2040-01-08,0
C,K516,2040-01-08,0
C,K521,2040-01-08,0
C,K522,2040-01-08,0
C,K525,2040-01-15,7
C,K530,2040-01-08,0
C,K532,2040-01-08,0
C,K533,2040-01-08,0
C,K535,2040-01-08,0
C,K536,2040-01-08,0
C,K540,2040-01-08,0
C,K508,2040-01-22,7
C,K510,2040-01-22,7
C,K512,2040-01-29,14
C,K513,2040-01-15,0
C,K517,2040-02-05,7
C,K527,2040-01-22,7
C,K538,2040-02-05,21
C,K539,2040-01-15,0
C,K511,2040-02-05,0
C,K519,2040-01-29,0
C,K529,2040-02-12,0
C,K537,2040-01-29,0
C,K505,2040-01-15,0
C,K507,2040-02-05,21
C,K515,2040-02-26,42
C,K518,2040-01-22,7
C,K528,2040-01-22,7
C,K531,2040-01-15,0
C,K534,2040-01-22,7
C,K514,2040-04-01,0
C,K520,2040-02-05,0
C,K523,2040-02-12,0
C,K524,2040-01-22,7
C,K526,2040-02-05,0
