activity_id,week,location_id,co_share_group
Z501,7,PLAT:L01:N004:WB,g1
Z501,7,PLAT:L01:N008:WB,g1
Z501,7,PLAT:L01:N010:WB,g1
Z501,7,SEC:L01:N004_N010:WB,g1
Z501,7,SEC:L01:N008_N004:WB,g1
Z501,8,PLAT:L01:N004:WB,g1
Z501,8,PLAT:L01:N008:WB,g1
Z501,8,PLAT:L01:N010:WB,g1
Z501,8,SEC:L01:N004_N010:WB,g1
Z501,8,SEC:L01:N008_N004:WB,g1
Z502,9,PLAT:L01:N004:WB,g1
Z502,9,PLAT:L01:N010:WB,g1
Z502,9,SEC:L01:N004_N010:WB,g1
Z503,1,PLAT:L04:N013:EB,g5
Z503,1,PLAT:L04:N021:EB,g5
Z503,1,SEC:L04:N013_N021:EB,g6
Z504,1,PLAT:L02:N009:EB,g1
Z504,1,PLAT:L02:N015:EB,g1
Z504,1,PLAT:L02:N019:EB,g1
Z504,1,SEC:L02:N009_N015:EB,g1
Z504,1,SEC:L02:N019_N009:EB,g1
Z504,2,PLAT:L02:N009:EB,g1
Z504,2,PLAT:L02:N015:EB,g1
Z504,2,PLAT:L02:N019:EB,g1
Z504,2,SEC:L02:N009_N015:EB,g1
Z504,2,SEC:L02:N019_N009:EB,g1
Z504,3,PLAT:L02:N009:EB,g1
Z504,3,PLAT:L02:N015:EB,g1
Z504,3,PLAT:L02:N019:EB,g1
Z504,3,SEC:L02:N009_N015:EB,g1
Z504,3,SEC:L02:N019_N009:EB,g1
Z505,5,PLAT:L07:N001:EB,g1
Z505,5,PLAT:L07:N007:EB,g1
Z505,5,SEC:L07:N007_N001:EB,g1
Z506,1,PLAT:L05:N005:EB,g1
Z506,1,PLAT:L05:N012:EB,g1
Z506,1,SEC:L05:N012_N005:EB,g1
Z506,2,PLAT:L05:N005:EB,g1
Z506,2,PLAT:L05:N012:EB,g1
Z506,2,SEC:L05:N012_N005:EB,g1
Z506,3,PLAT:L05:N005:EB,g1
Z506,3,PLAT:L05:N012:EB,g1
Z506,3,SEC:L05:N012_N005:EB,g1
Z507,1,PLAT:L04:N013:EB,g3
Z507,1,PLAT:L04:N021:EB,g7
Z507,1,SEC:L04:N013_N021:EB,g7
Z508,1,PLAT:L04:N013:EB,g2
Z508,1,PLAT:L04:N021:EB,g4
Z508,1,SEC:L04:N013_N021:EB,g4
Z509,1,PLAT:L04:N013:EB,g4
Z509,1,PLAT:L04:N021:EB,g2
Z509,1,SEC:L04:N013_N021:EB,g3
Z510,1,PLAT:L04:N013:EB,g7
Z510,1,PLAT:L04:N021:EB,g5
Z510,1,SEC:L04:N013_N021:EB,g2
Z511,1,PLAT:L04:N013:EB,g7
Z511,1,PLAT:L04:N021:EB,g7
Z511,1,SEC:L04:N013_N021:EB,g3
Z512,6,PLAT:L06:N008:EB,g1
Z512,6,PLAT:L06:N016:EB,g1
Z512,6,SEC:L06:N016_N008:EB,g1
Z513,1,PLAT:L05:N005:EB,g2
Z513,1,PLAT:L05:N012:EB,g2
Z513,1,SEC:L05:N012_N005:EB,g2
Z513,2,PLAT:L05:N005:EB,g1
Z513,2,PLAT:L05:N012:EB,g1
Z513,2,SEC:L05:N012_N005:EB,g2
Z514,1,PLAT:L02:N014:EB,g1
Z514,1,PLAT:L02:N017:EB,g1
Z514,1,SEC:L02:N014_N017:EB,g1
Z514,2,PLAT:L02:N014:EB,g1
Z514,2,PLAT:L02:N017:EB,g1
Z514,2,SEC:L02:N014_N017:EB,g1
