activity_id,week,location_id,co_share_group
IC12,1,PLAT:LIB:I1:EB,g1
IC12,1,PLAT:LIB:I2:EB,g2
IC12,1,PLAT:LIB:I3:EB,g2
IC12,1,SEC:LIB:I1_I2:EB,g1
IC12,1,SEC:LIB:I2_I3:EB,g1
IC12,2,PLAT:LIB:I1:EB,g1
IC12,2,PLAT:LIB:I2:EB,g2
IC12,2,PLAT:LIB:I3:EB,g2
IC12,2,SEC:LIB:I1_I2:EB,g1
IC12,2,SEC:LIB:I2_I3:EB,g1
IC23,1,PLAT:LIB:I2:EB,g2
IC23,1,PLAT:LIB:I3:EB,g2
IC23,1,PLAT:LIB:I4:EB,g2
IC23,1,SEC:LIB:I2_I3:EB,g1
IC23,1,SEC:LIB:I3_I4:EB,g1
IC23,2,PLAT:LIB:I2:EB,g2
IC23,2,PLAT:LIB:I3:EB,g2
IC23,2,PLAT:LIB:I4:EB,g2
IC23,2,SEC:LIB:I2_I3:EB,g1
IC23,2,SEC:LIB:I3_I4:EB,g1
IC34,1,PLAT:LIB:I3:EB,g2
IC34,1,PLAT:LIB:I4:EB,g2
IC34,1,PLAT:LIB:I5:EB,g1
IC34,1,SEC:LIB:I3_I4:EB,g1
IC34,1,SEC:LIB:I4_I5:EB,g1
IC34,2,PLAT:LIB:I3:EB,g2
IC34,2,PLAT:LIB:I4:EB,g2
IC34,2,PLAT:LIB:I5:EB,g1
IC34,2,SEC:LIB:I3_I4:EB,g1
IC34,2,SEC:LIB:I4_I5:EB,g1
IPC1,1,PLAT:LIB:I1:EB,g1
IPC1,1,PLAT:LIB:I2:EB,g2
IPC1,1,SEC:LIB:I1_I2:EB,g1
IPC1,2,PLAT:LIB:I1:EB,g1
IPC1,2,PLAT:LIB:I2:EB,g1
IPC1,2,SEC:LIB:I1_I2:EB,g1
IPC2,1,PLAT:LIB:I2:EB,g1
IPC2,1,PLAT:LIB:I3:EB,g2
IPC2,1,SEC:LIB:I2_I3:EB,g1
IPC2,2,PLAT:LIB:I2:EB,g2
IPC2,2,PLAT:LIB:I3:EB,g1
IPC2,2,SEC:LIB:I2_I3:EB,g1
IPC3,1,PLAT:LIB:I3:EB,g1
IPC3,1,PLAT:LIB:I4:EB,g1
IPC3,1,SEC:LIB:I3_I4:EB,g1
IPC3,2,PLAT:LIB:I3:EB,g2
IPC3,2,PLAT:LIB:I4:EB,g1
IPC3,2,SEC:LIB:I3_I4:EB,g1
IPC4,1,PLAT:LIB:I4:EB,g2
IPC4,1,PLAT:LIB:I5:EB,g1
IPC4,1,SEC:LIB:I4_I5:EB,g1
IPC4,2,PLAT:LIB:I4:EB,g2
IPC4,2,PLAT:LIB:I5:EB,g1
IPC4,2,SEC:LIB:I4_I5:EB,g1
IPM6,3,PLAT:LIB:I6:EB,g1
IPM6,3,PLAT:LIB:I7:EB,g1
IPM6,3,SEC:LIB:I6_I7:EB,g1
IPM6,4,PLAT:LIB:I6:EB,g1
IPM6,4,PLAT:LIB:I7:EB,g1
IPM6,4,SEC:LIB:I6_I7:EB,g1
