scenario,contract_number,simulated_completion_date,overrun_days
A,KMM,2031-04-20,14
A,Z0101,2031-01-26,7
A,Z0102,2031-02-09,0
A,Z0104,2031-03-09,0
A,Z0105,2031-03-23,0
A,Z0106,2031-04-06,0
A,Z0107,2031-04-13,0
A,Z0108,2031-02-09,0
A,Z0201,2031-01-26,7
A,Z0202,2031-02-09,0
A,Z0203,2031-02-16,0
A,Z0204,2031-03-09,0
A,Z0206,2031-04-06,0
A,Z0207,2031-04-13,0
A,Z0208,2031-02-09,0
A,Z0301,2031-01-26,7
A,Z0302,2031-02-09,0
A,Z0304,2031-03-09,0
A,Z0305,2031-03-23,0
A,Z0306,2031-04-06,0
A,Z0307,2031-04-13,0
A,Z0308,2031-02-09,0
A,Z0401,2031-01-26,7
A,Z0402,2031-02-09,0
A,Z0403,2031-02-16,0
A,Z0404,2031-03-09,0
A,Z0406,2031-04-06,0
A,Z0407,2031-04-13,0
A,Z0408,2031-02-09,0
A,Z0501,2031-01-26,7
A,Z0502,2031-02-09,0
A,Z0504,2031-03-09,0
A,Z0505,2031-03-23,0
A,Z0506,2031-04-06,0
A,Z0507,2031-04-13,0
A,Z0508,2031-02-09,0
