contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
Z0101,Scaled independent module 1 contract 1,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-01-19,1,C,2
Z0102,Scaled independent module 1 contract 2,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-02-09,1,PC,2
Z0104,Scaled independent module 1 contract 4,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-03-09,1,C,2
Z0105,Scaled independent module 1 contract 5,2030-06-01,ScaledSynthetic,Live,1,2031-06-22,2031-03-23,1,PC,2
Z0106,Scaled independent module 1 contract 6,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-04-06,1,C,2
Z0107,Scaled independent module 1 contract 7,2030-06-01,ScaledSynthetic,Non-live (Others),2,2031-06-22,2031-04-13,1,PM,1
Z0108,Scaled independent module 1 contract 8,2030-06-01,ScaledSynthetic,Non-live (Others),1,2031-06-22,2031-02-09,1,C,2
Z0201,Scaled independent module 2 contract 1,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-01-19,1,C,2
Z0202,Scaled independent module 2 contract 2,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-02-09,1,PC,2
Z0203,Scaled independent module 2 contract 3,2030-06-01,ScaledSynthetic,Live,1,2031-06-22,2031-02-16,1,PM,1
Z0204,Scaled independent module 2 contract 4,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-03-09,1,C,2
Z0206,Scaled independent module 2 contract 6,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-04-06,1,C,2
Z0207,Scaled independent module 2 contract 7,2030-06-01,ScaledSynthetic,Non-live (Others),2,2031-06-22,2031-04-13,1,PM,1
Z0208,Scaled independent module 2 contract 8,2030-06-01,ScaledSynthetic,Non-live (Others),1,2031-06-22,2031-02-09,1,C,2
Z0301,Scaled independent module 3 contract 1,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-01-19,1,C,2
Z0302,Scaled independent module 3 contract 2,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-02-09,1,PC,2
Z0304,Scaled independent module 3 contract 4,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-03-09,1,C,2
Z0305,Scaled independent module 3 contract 5,2030-06-01,ScaledSynthetic,Live,1,2031-06-22,2031-03-23,1,PC,2
Z0306,Scaled independent module 3 contract 6,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-04-06,1,C,2
Z0307,Scaled independent module 3 contract 7,2030-06-01,ScaledSynthetic,Non-live (Others),2,2031-06-22,2031-04-13,1,PM,1
Z0308,Scaled independent module 3 contract 8,2030-06-01,ScaledSynthetic,Non-live (Others),1,2031-06-22,2031-02-09,1,C,2
Z0401,Scaled independent module 4 contract 1,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-01-19,1,C,2
Z0402,Scaled independent module 4 contract 2,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-02-09,1,PC,2
Z0403,Scaled independent module 4 contract 3,2030-06-01,ScaledSynthetic,Live,1,2031-06-22,2031-02-16,1,PM,1
Z0404,Scaled independent module 4 contract 4,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-03-09,1,C,2
Z0406,Scaled independent module 4 contract 6,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-04-06,1,C,2
Z0407,Scaled independent module 4 contract 7,2030-06-01,ScaledSynthetic,Non-live (Others),2,2031-06-22,2031-04-13,1,PM,1
Z0408,Scaled independent module 4 contract 8,2030-06-01,ScaledSynthetic,Non-live (Others),1,2031-06-22,2031-02-09,1,C,2
Z0501,Scaled independent module 5 contract 1,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-01-19,1,C,2
Z0502,Scaled independent module 5 contract 2,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-02-09,1,PC,2
Z0504,Scaled independent module 5 contract 4,2030-06-01,ScaledSynthetic,Non-live (Consist),2,2031-06-22,2031-03-09,1,C,2
Z0505,Scaled independent module 5 contract 5,2030-06-01,ScaledSynthetic,Live,1,2031-06-22,2031-03-23,1,PC,2
Z0506,Scaled independent module 5 contract 6,2030-06-01,ScaledSynthetic,Non-live (Others),3,2031-06-22,2031-04-06,1,C,2
Z0507,Scaled independent module 5 contract 7,2030-06-01,ScaledSynthetic,Non-live (Others),2,2031-06-22,2031-04-13,1,PM,1
Z0508,Scaled independent module 5 contract 8,2030-06-01,ScaledSynthetic,Non-live (Others),1,2031-06-22,2031-02-09,1,C,2
KMM,Cross-module workfront trade-off,2030-06-01,MultimoduleTradeoff,Non-live (Others),3,2031-06-22,2031-04-06,1,C,1
