activity_id,week,location_id,co_share_group
R0801,1,PLAT:LSX:J8B:EB,g1
R0801,1,PLAT:LSX:N8C:EB,g1
R0801,1,SEC:LSX:J8B_N8C:EB,g1
R0801,2,PLAT:LSX:J8B:EB,g1
R0801,2,PLAT:LSX:N8C:EB,g1
R0801,2,SEC:LSX:J8B_N8C:EB,g1
R0801,3,PLAT:LSX:J8B:EB,g1
R0801,3,PLAT:LSX:N8C:EB,g1
R0801,3,SEC:LSX:J8B_N8C:EB,g1
R0807,12,PLAT:LSX:J8B:WB,g1
R0807,12,PLAT:LSX:N8C:WB,g1
R0807,12,PLAT:LSX:N8D:WB,g1
R0807,12,SEC:LSX:J8B_N8C:WB,g1
R0807,12,SEC:LSX:N8C_N8D:WB,g1
R0807,13,PLAT:LSX:J8B:WB,g1
R0807,13,PLAT:LSX:N8C:WB,g1
R0807,13,PLAT:LSX:N8D:WB,g1
R0807,13,SEC:LSX:J8B_N8C:WB,g1
R0807,13,SEC:LSX:N8C_N8D:WB,g1
R0802,4,PLAT:LSX:N8C:WB,g1
R0802,4,PLAT:LSX:N8D:WB,g1
R0802,4,SEC:LSX:N8C_N8D:WB,g1
R0802,5,PLAT:LSX:N8C:WB,g1
R0802,5,PLAT:LSX:N8D:WB,g1
R0802,5,SEC:LSX:N8C_N8D:WB,g1
R0809,4,PLAT:LSX:N8C:WB,g1
R0809,4,PLAT:LSX:N8D:WB,g1
R0809,4,SEC:LSX:N8C_N8D:WB,g1
R0809,5,PLAT:LSX:N8C:WB,g1
R0809,5,PLAT:LSX:N8D:WB,g1
R0809,5,SEC:LSX:N8C_N8D:WB,g1
R0806,10,PLAT:LSY:J8A:EB,g1
R0806,10,PLAT:LSY:J8B:EB,g1
R0806,10,SEC:LSY:J8A_J8B:EB,g1
R0806,11,PLAT:LSY:J8A:EB,g1
R0806,11,PLAT:LSY:J8B:EB,g1
R0806,11,SEC:LSY:J8A_J8B:EB,g1
R0803,6,PLAT:LSX:J8A:EB,g1
R0803,6,PLAT:LSX:J8B:EB,g1
R0803,6,SEC:LSX:J8A_J8B:EB,g1
R0805,9,PLAT:LSY:S8C:WB,g1
R0805,9,PLAT:LSY:S8D:WB,g1
R0805,9,SEC:LSY:S8C_S8D:WB,g1
R0804,8,PLAT:LSY:J8B:WB,g1
R0804,8,PLAT:LSY:S8C:WB,g1
R0804,8,PLAT:LSY:S8D:WB,g1
R0804,8,SEC:LSY:J8B_S8C:WB,g1
R0804,8,SEC:LSY:S8C_S8D:WB,g1
R0804,7,PLAT:LSY:J8B:WB,g1
R0804,7,PLAT:LSY:S8C:WB,g1
R0804,7,PLAT:LSY:S8D:WB,g1
R0804,7,SEC:LSY:J8B_S8C:WB,g1
R0804,7,SEC:LSY:S8C_S8D:WB,g1
R0808,14,PLAT:LSY:S8C:EB,g1
R0808,14,PLAT:LSY:S8D:EB,g1
R0808,14,SEC:LSY:S8C_S8D:EB,g1
