sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:LSX:J1A_J1B,LSX,J1A,J1B,1,1
SEC:LSX:J1B_N1C,LSX,J1B,N1C,2,0
SEC:LSX:N1C_N1D,LSX,N1C,N1D,3,0
SEC:LSX:N1D_N1G1,LSX,N1D,N1G1,4,0
SEC:LSX:N1G1_N1G2,LSX,N1G1,N1G2,5,0
SEC:LSX:N1G2_N1G3,LSX,N1G2,N1G3,6,0
SEC:LSX:N1G3_J2A,LSX,N1G3,J2A,7,0
SEC:LSX:J2A_J2B,LSX,J2A,J2B,8,1
SEC:LSX:J2B_N2C,LSX,J2B,N2C,9,0
SEC:LSX:N2C_N2D,LSX,N2C,N2D,10,0
SEC:LSX:N2D_N2G1,LSX,N2D,N2G1,11,0
SEC:LSX:N2G1_N2G2,LSX,N2G1,N2G2,12,0
SEC:LSX:N2G2_N2G3,LSX,N2G2,N2G3,13,0
SEC:LSX:N2G3_J3A,LSX,N2G3,J3A,14,0
SEC:LSX:J3A_J3B,LSX,J3A,J3B,15,1
SEC:LSX:J3B_N3C,LSX,J3B,N3C,16,0
SEC:LSX:N3C_N3D,LSX,N3C,N3D,17,0
SEC:LSX:N3D_N3G1,LSX,N3D,N3G1,18,0
SEC:LSX:N3G1_N3G2,LSX,N3G1,N3G2,19,0
SEC:LSX:N3G2_N3G3,LSX,N3G2,N3G3,20,0
SEC:LSX:N3G3_J4A,LSX,N3G3,J4A,21,0
SEC:LSX:J4A_J4B,LSX,J4A,J4B,22,1
SEC:LSX:J4B_N4C,LSX,J4B,N4C,23,0
SEC:LSX:N4C_N4D,LSX,N4C,N4D,24,0
SEC:LSX:N4D_N4G1,LSX,N4D,N4G1,25,0
SEC:LSX:N4G1_N4G2,LSX,N4G1,N4G2,26,0
SEC:LSX:N4G2_N4G3,LSX,N4G2,N4G3,27,0
SEC:LSX:N4G3_J5A,LSX,N4G3,J5A,28,0
SEC:LSX:J5A_J5B,LSX,J5A,J5B,29,1
SEC:LSX:J5B_N5C,LSX,J5B,N5C,30,0
SEC:LSX:N5C_N5D,LSX,N5C,N5D,31,0
SEC:LSX:N5D_N5G1,LSX,N5D,N5G1,32,0
SEC:LSX:N5G1_N5G2,LSX,N5G1,N5G2,33,0
SEC:LSX:N5G2_N5G3,LSX,N5G2,N5G3,34,0
SEC:LSX:N5G3_J6A,LSX,N5G3,J6A,35,0
SEC:LSX:J6A_J6B,LSX,J6A,J6B,36,1
SEC:LSX:J6B_N6C,LSX,J6B,N6C,37,0
SEC:LSX:N6C_N6D,LSX,N6C,N6D,38,0
SEC:LSX:N6D_N6G1,LSX,N6D,N6G1,39,0
SEC:LSX:N6G1_N6G2,LSX,N6G1,N6G2,40,0
SEC:LSX:N6G2_N6G3,LSX,N6G2,N6G3,41,0
SEC:LSX:N6G3_J7A,LSX,N6G3,J7A,42,0
SEC:LSX:J7A_J7B,LSX,J7A,J7B,43,1
SEC:LSX:J7B_N7C,LSX,J7B,N7C,44,0
SEC:LSX:N7C_N7D,LSX,N7C,N7D,45,0
SEC:LSX:N7D_N7G1,LSX,N7D,N7G1,46,0
SEC:LSX:N7G1_N7G2,LSX,N7G1,N7G2,47,0
SEC:LSX:N7G2_N7G3,LSX,N7G2,N7G3,48,0
SEC:LSX:N7G3_J8A,LSX,N7G3,J8A,49,0
SEC:LSX:J8A_J8B,LSX,J8A,J8B,50,1
SEC:LSX:J8B_N8C,LSX,J8B,N8C,51,0
SEC:LSX:N8C_N8D,LSX,N8C,N8D,52,0
SEC:LSX:N8D_N8G1,LSX,N8D,N8G1,53,0
SEC:LSX:N8G1_N8G2,LSX,N8G1,N8G2,54,0
SEC:LSX:N8G2_N8G3,LSX,N8G2,N8G3,55,0
SEC:LSY:J1A_J1B,LSY,J1A,J1B,1,1
SEC:LSY:J1B_S1C,LSY,J1B,S1C,2,0
