activity_id,week,location_id,co_share_group
R0201,1,PLAT:LSX:J2B:EB,g1
R0201,1,PLAT:LSX:N2C:EB,g1
R0201,1,SEC:LSX:J2B_N2C:EB,g1
R0201,2,PLAT:LSX:J2B:EB,g1
R0201,2,PLAT:LSX:N2C:EB,g1
R0201,2,SEC:LSX:J2B_N2C:EB,g1
R0201,3,PLAT:LSX:J2B:EB,g1
R0201,3,PLAT:LSX:N2C:EB,g1
R0201,3,SEC:LSX:J2B_N2C:EB,g1
R0202,4,PLAT:LSX:N2C:WB,g1
R0202,4,PLAT:LSX:N2D:WB,g1
R0202,4,SEC:LSX:N2C_N2D:WB,g1
R0202,5,PLAT:LSX:N2C:WB,g1
R0202,5,PLAT:LSX:N2D:WB,g1
R0202,5,SEC:LSX:N2C_N2D:WB,g1
R0203,6,PLAT:LSX:J2A:EB,g1
R0203,6,PLAT:LSX:J2B:EB,g1
R0203,6,SEC:LSX:J2A_J2B:EB,g1
R0204,7,PLAT:LSY:J2B:WB,g1
R0204,7,PLAT:LSY:S2C:WB,g1
R0204,7,PLAT:LSY:S2D:WB,g1
R0204,7,SEC:LSY:J2B_S2C:WB,g1
R0204,7,SEC:LSY:S2C_S2D:WB,g1
R0204,8,PLAT:LSY:J2B:WB,g1
R0204,8,PLAT:LSY:S2C:WB,g1
R0204,8,PLAT:LSY:S2D:WB,g1
R0204,8,SEC:LSY:J2B_S2C:WB,g1
R0204,8,SEC:LSY:S2C_S2D:WB,g1
R0205,9,PLAT:LSY:S2C:WB,g1
R0205,9,PLAT:LSY:S2D:WB,g1
R0205,9,SEC:LSY:S2C_S2D:WB,g1
R0206,10,PLAT:LSY:J2A:EB,g1
R0206,10,PLAT:LSY:J2B:EB,g1
R0206,10,SEC:LSY:J2A_J2B:EB,g1
R0206,11,PLAT:LSY:J2A:EB,g1
R0206,11,PLAT:LSY:J2B:EB,g1
R0206,11,SEC:LSY:J2A_J2B:EB,g1
R0207,12,PLAT:LSX:J2B:WB,g1
R0207,12,PLAT:LSX:N2C:WB,g1
R0207,12,PLAT:LSX:N2D:WB,g1
R0207,12,SEC:LSX:J2B_N2C:WB,g1
R0207,12,SEC:LSX:N2C_N2D:WB,g1
R0207,13,PLAT:LSX:J2B:WB,g1
R0207,13,PLAT:LSX:N2C:WB,g1
R0207,13,PLAT:LSX:N2D:WB,g1
R0207,13,SEC:LSX:J2B_N2C:WB,g1
R0207,13,SEC:LSX:N2C_N2D:WB,g1
R0208,14,PLAT:LSY:S2C:EB,g1
R0208,14,PLAT:LSY:S2D:EB,g1
R0208,14,SEC:LSY:S2C_S2D:EB,g1
R0209,4,PLAT:LSX:N2C:WB,g1
R0209,4,PLAT:LSX:N2D:WB,g1
R0209,4,SEC:LSX:N2C_N2D:WB,g1
R0209,5,PLAT:LSX:N2C:WB,g1
R0209,5,PLAT:LSX:N2D:WB,g1
R0209,5,SEC:LSX:N2C_N2D:WB,g1
