activity_id,week,location_id,co_share_group
R0301,1,PLAT:LSX:J3B:EB,g1
R0301,1,PLAT:LSX:N3C:EB,g1
R0301,1,SEC:LSX:J3B_N3C:EB,g1
R0301,2,PLAT:LSX:J3B:EB,g1
R0301,2,PLAT:LSX:N3C:EB,g1
R0301,2,SEC:LSX:J3B_N3C:EB,g1
R0301,3,PLAT:LSX:J3B:EB,g1
R0301,3,PLAT:LSX:N3C:EB,g1
R0301,3,SEC:LSX:J3B_N3C:EB,g1
R0302,4,PLAT:LSX:N3C:WB,g1
R0302,4,PLAT:LSX:N3D:WB,g1
R0302,4,SEC:LSX:N3C_N3D:WB,g1
R0302,5,PLAT:LSX:N3C:WB,g1
R0302,5,PLAT:LSX:N3D:WB,g1
R0302,5,SEC:LSX:N3C_N3D:WB,g1
R0303,6,PLAT:LSX:J3A:EB,g1
R0303,6,PLAT:LSX:J3B:EB,g1
R0303,6,SEC:LSX:J3A_J3B:EB,g1
R0304,7,PLAT:LSY:J3B:WB,g1
R0304,7,PLAT:LSY:S3C:WB,g1
R0304,7,PLAT:LSY:S3D:WB,g1
R0304,7,SEC:LSY:J3B_S3C:WB,g1
R0304,7,SEC:LSY:S3C_S3D:WB,g1
R0304,8,PLAT:LSY:J3B:WB,g1
R0304,8,PLAT:LSY:S3C:WB,g1
R0304,8,PLAT:LSY:S3D:WB,g1
R0304,8,SEC:LSY:J3B_S3C:WB,g1
R0304,8,SEC:LSY:S3C_S3D:WB,g1
R0305,9,PLAT:LSY:S3C:WB,g1
R0305,9,PLAT:LSY:S3D:WB,g1
R0305,9,SEC:LSY:S3C_S3D:WB,g1
R0306,10,PLAT:LSY:J3A:EB,g1
R0306,10,PLAT:LSY:J3B:EB,g1
R0306,10,SEC:LSY:J3A_J3B:EB,g1
R0306,11,PLAT:LSY:J3A:EB,g1
R0306,11,PLAT:LSY:J3B:EB,g1
R0306,11,SEC:LSY:J3A_J3B:EB,g1
R0307,12,PLAT:LSX:J3B:WB,g1
R0307,12,PLAT:LSX:N3C:WB,g1
R0307,12,PLAT:LSX:N3D:WB,g1
R0307,12,SEC:LSX:J3B_N3C:WB,g1
R0307,12,SEC:LSX:N3C_N3D:WB,g1
R0307,13,PLAT:LSX:J3B:WB,g1
R0307,13,PLAT:LSX:N3C:WB,g1
R0307,13,PLAT:LSX:N3D:WB,g1
R0307,13,SEC:LSX:J3B_N3C:WB,g1
R0307,13,SEC:LSX:N3C_N3D:WB,g1
R0308,14,PLAT:LSY:S3C:EB,g1
R0308,14,PLAT:LSY:S3D:EB,g1
R0308,14,SEC:LSY:S3C_S3D:EB,g1
R0309,4,PLAT:LSX:N3C:WB,g1
R0309,4,PLAT:LSX:N3D:WB,g1
R0309,4,SEC:LSX:N3C_N3D:WB,g1
R0309,5,PLAT:LSX:N3C:WB,g1
R0309,5,PLAT:LSX:N3D:WB,g1
R0309,5,SEC:LSX:N3C_N3D:WB,g1
