activity_id,week,location_id,co_share_group
R0501,1,PLAT:LSX:J5B:EB,g1
R0501,1,PLAT:LSX:N5C:EB,g1
R0501,1,SEC:LSX:J5B_N5C:EB,g1
R0501,2,PLAT:LSX:J5B:EB,g1
R0501,2,PLAT:LSX:N5C:EB,g1
R0501,2,SEC:LSX:J5B_N5C:EB,g1
R0501,3,PLAT:LSX:J5B:EB,g1
R0501,3,PLAT:LSX:N5C:EB,g1
R0501,3,SEC:LSX:J5B_N5C:EB,g1
R0507,12,PLAT:LSX:J5B:WB,g1
R0507,12,PLAT:LSX:N5C:WB,g1
R0507,12,PLAT:LSX:N5D:WB,g1
R0507,12,SEC:LSX:J5B_N5C:WB,g1
R0507,12,SEC:LSX:N5C_N5D:WB,g1
R0507,13,PLAT:LSX:J5B:WB,g1
R0507,13,PLAT:LSX:N5C:WB,g1
R0507,13,PLAT:LSX:N5D:WB,g1
R0507,13,SEC:LSX:J5B_N5C:WB,g1
R0507,13,SEC:LSX:N5C_N5D:WB,g1
R0502,4,PLAT:LSX:N5C:WB,g1
R0502,4,PLAT:LSX:N5D:WB,g1
R0502,4,SEC:LSX:N5C_N5D:WB,g1
R0502,5,PLAT:LSX:N5C:WB,g1
R0502,5,PLAT:LSX:N5D:WB,g1
R0502,5,SEC:LSX:N5C_N5D:WB,g1
R0509,4,PLAT:LSX:N5C:WB,g1
R0509,4,PLAT:LSX:N5D:WB,g1
R0509,4,SEC:LSX:N5C_N5D:WB,g1
R0509,5,PLAT:LSX:N5C:WB,g1
R0509,5,PLAT:LSX:N5D:WB,g1
R0509,5,SEC:LSX:N5C_N5D:WB,g1
R0506,10,PLAT:LSY:J5A:EB,g1
R0506,10,PLAT:LSY:J5B:EB,g1
R0506,10,SEC:LSY:J5A_J5B:EB,g1
R0506,11,PLAT:LSY:J5A:EB,g1
R0506,11,PLAT:LSY:J5B:EB,g1
R0506,11,SEC:LSY:J5A_J5B:EB,g1
R0503,6,PLAT:LSX:J5A:EB,g1
R0503,6,PLAT:LSX:J5B:EB,g1
R0503,6,SEC:LSX:J5A_J5B:EB,g1
R0505,9,PLAT:LSY:S5C:WB,g1
R0505,9,PLAT:LSY:S5D:WB,g1
R0505,9,SEC:LSY:S5C_S5D:WB,g1
R0504,8,PLAT:LSY:J5B:WB,g1
R0504,8,PLAT:LSY:S5C:WB,g1
R0504,8,PLAT:LSY:S5D:WB,g1
R0504,8,SEC:LSY:J5B_S5C:WB,g1
R0504,8,SEC:LSY:S5C_S5D:WB,g1
R0504,7,PLAT:LSY:J5B:WB,g1
R0504,7,PLAT:LSY:S5C:WB,g1
R0504,7,PLAT:LSY:S5D:WB,g1
R0504,7,SEC:LSY:J5B_S5C:WB,g1
R0504,7,SEC:LSY:S5C_S5D:WB,g1
R0508,14,PLAT:LSY:S5C:EB,g1
R0508,14,PLAT:LSY:S5D:EB,g1
R0508,14,SEC:LSY:S5C_S5D:EB,g1
