location_id,location_kind,line_code,bound,supply_capacity
SEC:LSX:J1A_J1B:EB,tunnel sector,LSX,EB,1
SEC:LSX:J1A_J1B:WB,tunnel sector,LSX,WB,1
SEC:LSX:J1B_N1C:EB,tunnel sector,LSX,EB,1
SEC:LSX:J1B_N1C:WB,tunnel sector,LSX,WB,1
SEC:LSX:N1C_N1D:EB,tunnel sector,LSX,EB,1
SEC:LSX:N1C_N1D:WB,tunnel sector,LSX,WB,1
SEC:LSX:N1D_N1G1:EB,tunnel sector,LSX,EB,1
SEC:LSX:N1D_N1G1:WB,tunnel sector,LSX,WB,1
SEC:LSX:N1G1_N1G2:EB,tunnel sector,LSX,EB,1
SEC:LSX:N1G1_N1G2:WB,tunnel sector,LSX,WB,1
SEC:LSX:N1G2_N1G3:EB,tunnel sector,LSX,EB,1
SEC:LSX:N1G2_N1G3:WB,tunnel sector,LSX,WB,1
SEC:LSX:N1G3_J2A:EB,tunnel sector,LSX,EB,1
SEC:LSX:N1G3_J2A:WB,tunnel sector,LSX,WB,1
SEC:LSX:J2A_J2B:EB,tunnel sector,LSX,EB,1
SEC:LSX:J2A_J2B:WB,tunnel sector,LSX,WB,1
SEC:LSX:J2B_N2C:EB,tunnel sector,LSX,EB,1
SEC:LSX:J2B_N2C:WB,tunnel sector,LSX,WB,1
SEC:LSX:N2C_N2D:EB,tunnel sector,LSX,EB,1
SEC:LSX:N2C_N2D:WB,tunnel sector,LSX,WB,1
SEC:LSX:N2D_N2G1:EB,tunnel sector,LSX,EB,1
SEC:LSX:N2D_N2G1:WB,tunnel sector,LSX,WB,1
SEC:LSX:N2G1_N2G2:EB,tunnel sector,LSX,EB,1
SEC:LSX:N2G1_N2G2:WB,tunnel sector,LSX,WB,1
SEC:LSX:N2G2_N2G3:EB,tunnel sector,LSX,EB,1
SEC:LSX:N2G2_N2G3:WB,tunnel sector,LSX,WB,1
SEC:LSX:N2G3_J3A:EB,tunnel sector,LSX,EB,1
SEC:LSX:N2G3_J3A:WB,tunnel sector,LSX,WB,1
SEC:LSX:J3A_J3B:EB,tunnel sector,LSX,EB,1
SEC:LSX:J3A_J3B:WB,tunnel sector,LSX,WB,1
SEC:LSX:J3B_N3C:EB,tunnel sector,LSX,EB,1
SEC:LSX:J3B_N3C:WB,tunnel sector,LSX,WB,1
SEC:LSX:N3C_N3D:EB,tunnel sector,LSX,EB,1
SEC:LSX:N3C_N3D:WB,tunnel sector,LSX,WB,1
SEC:LSX:N3D_N3G1:EB,tunnel sector,LSX,EB,1
SEC:LSX:N3D_N3G1:WB,tunnel sector,LSX,WB,1
SEC:LSX:N3G1_N3G2:EB,tunnel sector,LSX,EB,1
SEC:LSX:N3G1_N3G2:WB,tunnel sector,LSX,WB,1
SEC:LSX:N3G2_N3G3:EB,tunnel sector,LSX,EB,1
