activity_id,week,location_id,co_share_group
R0101,1,PLAT:LSX:J1B:EB,g1
R0101,1,PLAT:LSX:N1C:EB,g1
R0101,1,SEC:LSX:J1B_N1C:EB,g1
R0101,2,PLAT:LSX:J1B:EB,g1
R0101,2,PLAT:LSX:N1C:EB,g1
R0101,2,SEC:LSX:J1B_N1C:EB,g1
R0101,3,PLAT:LSX:J1B:EB,g1
R0101,3,PLAT:LSX:N1C:EB,g1
R0101,3,SEC:LSX:J1B_N1C:EB,g1
R0107,12,PLAT:LSX:J1B:WB,g1
R0107,12,PLAT:LSX:N1C:WB,g1
R0107,12,PLAT:LSX:N1D:WB,g1
R0107,12,SEC:LSX:J1B_N1C:WB,g1
R0107,12,SEC:LSX:N1C_N1D:WB,g1
R0107,13,PLAT:LSX:J1B:WB,g1
R0107,13,PLAT:LSX:N1C:WB,g1
R0107,13,PLAT:LSX:N1D:WB,g1
R0107,13,SEC:LSX:J1B_N1C:WB,g1
R0107,13,SEC:LSX:N1C_N1D:WB,g1
R0201,1,PLAT:LSX:J2B:EB,g1
R0201,1,PLAT:LSX:N2C:EB,g1
R0201,1,SEC:LSX:J2B_N2C:EB,g1
R0201,2,PLAT:LSX:J2B:EB,g1
R0201,2,PLAT:LSX:N2C:EB,g1
R0201,2,SEC:LSX:J2B_N2C:EB,g1
R0201,3,PLAT:LSX:J2B:EB,g1
R0201,3,PLAT:LSX:N2C:EB,g1
R0201,3,SEC:LSX:J2B_N2C:EB,g1
R0207,12,PLAT:LSX:J2B:WB,g1
R0207,12,PLAT:LSX:N2C:WB,g1
R0207,12,PLAT:LSX:N2D:WB,g1
R0207,12,SEC:LSX:J2B_N2C:WB,g1
R0207,12,SEC:LSX:N2C_N2D:WB,g1
R0207,13,PLAT:LSX:J2B:WB,g1
R0207,13,PLAT:LSX:N2C:WB,g1
R0207,13,PLAT:LSX:N2D:WB,g1
R0207,13,SEC:LSX:J2B_N2C:WB,g1
R0207,13,SEC:LSX:N2C_N2D:WB,g1
R0301,1,PLAT:LSX:J3B:EB,g1
R0301,1,PLAT:LSX:N3C:EB,g1
R0301,1,SEC:LSX:J3B_N3C:EB,g1
R0301,2,PLAT:LSX:J3B:EB,g1
R0301,2,PLAT:LSX:N3C:EB,g1
