activity_id,week,location_id,co_share_group
HX1,1,PLAT:LHX:HN3:EB,g1
HX1,1,PLAT:LHX:HN4:EB,g1
HX1,1,SEC:LHX:HN3_HN4:EB,g1
HX2,13,PLAT:LHX:HN4:WB,g1
HX2,13,PLAT:LHX:HN5:WB,g1
HX2,13,SEC:LHX:HN4_HN5:WB,g1
HX3,16,PLAT:LHX:HN3:EB,g1
HX3,16,PLAT:LHX:HN4:EB,g1
HX3,16,PLAT:LHX:HN5:EB,g1
HX3,16,SEC:LHX:HN3_HN4:EB,g1
HX3,16,SEC:LHX:HN4_HN5:EB,g1
HY1,13,PLAT:LHY:HS3:EB,g1
HY1,13,PLAT:LHY:HS4:EB,g1
HY1,13,SEC:LHY:HS3_HS4:EB,g1
HY2,15,PLAT:LHY:HS4:WB,g1
HY2,15,PLAT:LHY:HS5:WB,g1
HY2,15,SEC:LHY:HS4_HS5:WB,g1
HY3,21,PLAT:LHY:HS3:EB,g1
HY3,21,PLAT:LHY:HS4:EB,g1
HY3,21,PLAT:LHY:HS5:EB,g1
HY3,21,SEC:LHY:HS3_HS4:EB,g1
HY3,21,SEC:LHY:HS4_HS5:EB,g1
VXE01C1,1,PLAT:LHX:HN3:EB,g1
VXE01C1,1,PLAT:LHX:HN4:EB,g1
VXE01C1,1,SEC:LHX:HN3_HN4:EB,g1
VXE01C1,2,PLAT:LHX:HN3:EB,g1
VXE01C1,2,PLAT:LHX:HN4:EB,g2
VXE01C1,2,SEC:LHX:HN3_HN4:EB,g1
VXE01C2,2,PLAT:LHX:HN3:EB,g2
VXE01C2,2,PLAT:LHX:HN4:EB,g2
VXE01C2,2,SEC:LHX:HN3_HN4:EB,g2
VXE01C2,9,PLAT:LHX:HN3:EB,g1
VXE01C2,9,PLAT:LHX:HN4:EB,g1
VXE01C2,9,SEC:LHX:HN3_HN4:EB,g1
VXE01C3,1,PLAT:LHX:HN3:EB,g1
VXE01C3,1,PLAT:LHX:HN4:EB,g1
VXE01C3,1,SEC:LHX:HN3_HN4:EB,g1
VXE01C3,14,PLAT:LHX:HN3:EB,g1
VXE01C3,14,PLAT:LHX:HN4:EB,g1
VXE01C3,14,SEC:LHX:HN3_HN4:EB,g1
VXE01C3,24,PLAT:LHX:HN3:EB,g1
VXE01C3,24,PLAT:LHX:HN4:EB,g1
VXE01C3,24,SEC:LHX:HN3_HN4:EB,g1
VXE01P,1,PLAT:LHX:HN3:EB,g1
VXE01P,1,PLAT:LHX:HN4:EB,g1
VXE01P,1,SEC:LHX:HN3_HN4:EB,g1
VXE01P,10,PLAT:LHX:HN3:EB,g1
VXE01P,10,PLAT:LHX:HN4:EB,g1
VXE01P,10,SEC:LHX:HN3_HN4:EB,g1
VXE02C1,2,PLAT:LHX:HN3:EB,g1
VXE02C1,2,PLAT:LHX:HN4:EB,g1
VXE02C1,2,SEC:LHX:HN3_HN4:EB,g2
VXE02C1,8,PLAT:LHX:HN3:EB,g1
VXE02C1,8,PLAT:LHX:HN4:EB,g1
VXE02C1,8,SEC:LHX:HN3_HN4:EB,g1
VXE02C2,2,PLAT:LHX:HN3:EB,g1
VXE02C2,2,PLAT:LHX:HN4:EB,g2
VXE02C2,2,SEC:LHX:HN3_HN4:EB,g2
VXE02C2,3,PLAT:LHX:HN3:EB,g1
VXE02C2,3,PLAT:LHX:HN4:EB,g1
VXE02C2,3,SEC:LHX:HN3_HN4:EB,g1
VXE02C3,6,PLAT:LHX:HN3:EB,g1
VXE02C3,6,PLAT:LHX:HN4:EB,g1
VXE02C3,6,SEC:LHX:HN3_HN4:EB,g1
VXE02C3,11,PLAT:LHX:HN3:EB,g1
VXE02C3,11,PLAT:LHX:HN4:EB,g1
VXE02C3,11,SEC:LHX:HN3_HN4:EB,g1
VXE02C3,16,PLAT:LHX:HN3:EB,g1
VXE02C3,16,PLAT:LHX:HN4:EB,g1
VXE02C3,16,SEC:LHX:HN3_HN4:EB,g1
VXE02P,2,PLAT:LHX:HN3:EB,g2
VXE02P,2,PLAT:LHX:HN4:EB,g1
VXE02P,2,SEC:LHX:HN3_HN4:EB,g2
VXE02P,6,PLAT:LHX:HN3:EB,g1
VXE02P,6,PLAT:LHX:HN4:EB,g1
VXE02P,6,SEC:LHX:HN3_HN4:EB,g1
VXE03C1,2,PLAT:LHX:HN3:EB,g2
VXE03C1,2,PLAT:LHX:HN4:EB,g2
VXE03C1,2,SEC:LHX:HN3_HN4:EB,g1
VXE03C1,12,PLAT:LHX:HN3:EB,g1
VXE03C1,12,PLAT:LHX:HN4:EB,g1
VXE03C1,12,SEC:LHX:HN3_HN4:EB,g1
VXE03C2,3,PLAT:LHX:HN3:EB,g1
VXE03C2,3,PLAT:LHX:HN4:EB,g1
