scenario,contract_number,simulated_completion_date,overrun_days
C,KMM,2031-04-06,0
C,Z0101,2031-01-26,7
C,Z0102,2031-02-09,0
C,Z0104,2031-03-09,0
C,Z0105,2031-03-23,0
C,Z0106,2031-04-06,0
C,Z0107,2031-04-13,0
C,Z0108,2031-02-09,0
C,Z0201,2031-01-26,7
C,Z0202,2031-02-09,0
C,Z0203,2031-02-16,0
C,Z0204,2031-03-09,0
C,Z0206,2031-04-06,0
C,Z0207,2031-04-13,0
C,Z0208,2031-02-09,0
C,Z0301,2031-01-26,7
C,Z0302,2031-02-09,0
C,Z0304,2031-03-09,0
C,Z0305,2031-03-23,0
C,Z0306,2031-04-06,0
C,Z0307,2031-04-13,0
C,Z0308,2031-02-09,0
C,Z0401,2031-01-26,7
C,Z0402,2031-02-09,0
C,Z0403,2031-02-16,0
C,Z0404,2031-03-09,0
C,Z0406,2031-04-06,0
C,Z0407,2031-04-13,0
C,Z0408,2031-02-09,0
C,Z0501,2031-01-26,7
C,Z0502,2031-02-09,0
C,Z0504,2031-03-09,0
C,Z0505,2031-03-23,0
C,Z0506,2031-04-06,0
C,Z0507,2031-04-13,0
C,Z0508,2031-02-09,0
C,Z0601,2031-01-26,7
C,Z0602,2031-02-09,0
C,Z0603,2031-02-16,0
C,Z0604,2031-03-09,0
C,Z0605,2031-03-23,0
C,Z0606,2031-04-06,0
C,Z0607,2031-04-13,0
C,Z0608,2031-02-09,0
C,Z0701,2031-01-26,7
C,Z0702,2031-02-09,0
C,Z0703,2031-02-16,0
C,Z0704,2031-03-09,0
C,Z0705,2031-03-23,0
C,Z0706,2031-04-06,0
C,Z0707,2031-04-13,0
C,Z0708,2031-02-09,0
C,Z0801,2031-01-26,7
C,Z0802,2031-02-09,0
C,Z0803,2031-02-16,0
C,Z0804,2031-03-09,0
C,Z0805,2031-03-23,0
C,Z0806,2031-04-06,0
C,Z0807,2031-04-13,0
C,Z0808,2031-02-09,0
