activity_id,week,location_id,co_share_group
A001,22,PLAT:BET:S15:EB,g1
A001,22,PLAT:BET:S16:EB,g1
A001,22,PLAT:BET:S17:EB,g1
A001,22,SEC:BET:S15_S16:EB,g2
A001,22,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g1
A001,23,PLAT:BET:S16:EB,g1
A001,23,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g2
A002,1,PLAT:BET:S11:WB,g1
A002,1,PLAT:BET:S12:WB,g1
A002,1,PLAT:BET:S13:WB,g1
A002,1,SEC:BET:S11_S12:WB,g1
A002,1,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g1
A003,12,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g1
A003,13,PLAT:BET:S16:EB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g1
A003,13,SEC:BET:S15_S16:EB,g1
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g1
A003,14,PLAT:BET:S16:EB,g1
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g1
A003,14,SEC:BET:S15_S16:EB,g1
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g2
A003,15,PLAT:BET:S16:EB,g2
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g2
A003,15,SEC:BET:S15_S16:EB,g2
A004,17,PLAT:ALP:H01:EB,g1
A004,17,PLAT:ALP:S03:EB,g1
A004,17,PLAT:ALP:S04:EB,g1
A004,17,SEC:ALP:S03_S04:EB,g1
A004,17,SEC:ALP:S04_H01:EB,g1
A004,18,PLAT:ALP:H01:EB,g1
A004,18,PLAT:ALP:S03:EB,g1
A004,18,PLAT:ALP:S04:EB,g1
A004,18,SEC:ALP:S03_S04:EB,g1
A004,18,SEC:ALP:S04_H01:EB,g1
A004,19,PLAT:ALP:H01:EB,g1
A004,19,PLAT:ALP:S03:EB,g1
A004,19,PLAT:ALP:S04:EB,g1
A004,19,SEC:ALP:S03_S04:EB,g1
A004,19,SEC:ALP:S04_H01:EB,g1
A006,5,PLAT:ALP:H01:WB,g1
A006,5,PLAT:ALP:H02:WB,g1
A006,5,PLAT:ALP:S03:WB,g1
A006,5,PLAT:ALP:S04:WB,g1
A006,5,SEC:ALP:H01_H02:WB,g1
A006,5,SEC:ALP:S03_S04:WB,g1
A006,5,SEC:ALP:S04_H01:WB,g1
A006,6,PLAT:ALP:H01:WB,g1
A006,6,PLAT:ALP:H02:WB,g1
A006,6,PLAT:ALP:S03:WB,g1
A006,6,PLAT:ALP:S04:WB,g1
A006,6,SEC:ALP:H01_H02:WB,g1
A006,6,SEC:ALP:S03_S04:WB,g1
A006,6,SEC:ALP:S04_H01:WB,g2
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,20,PLAT:BET:H01:EB,g1
A007,20,PLAT:BET:H02:EB,g1
A007,20,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A008,20,PLAT:BET:S17:EB,g1
A008,20,PLAT:BET:S18:EB,g1
A008,20,SEC:BET:S17_S18:EB,g1
A008,21,PLAT:BET:S17:EB,g1
A008,21,PLAT:BET:S18:EB,g1
A008,21,SEC:BET:S17_S18:EB,g1
A008,23,PLAT:BET:S17:EB,g1
A008,23,PLAT:BET:S18:EB,g1
A008,23,SEC:BET:S17_S18:EB,g1
A008,24,PLAT:BET:S17:EB,g1
A008,24,PLAT:BET:S18:EB,g1
A008,24,SEC:BET:S17_S18:EB,g1
A008,25,PLAT:BET:S17:EB,g1
A008,25,PLAT:BET:S18:EB,g2
A008,25,SEC:BET:S17_S18:EB,g1
A009,5,PLAT:ALP:S05:EB,g1
A009,5,PLAT:ALP:S06:EB,g1
A009,5,SEC:ALP:S05_S06:EB,g1
A009,6,PLAT:ALP:S05:EB,g1
A009,6,PLAT:ALP:S06:EB,g1
A009,6,SEC:ALP:S05_S06:EB,g1
A009,7,PLAT:ALP:S05:EB,g1
A009,7,PLAT:ALP:S06:EB,g1
A009,7,SEC:ALP:S05_S06:EB,g1
A009,8,PLAT:ALP:S05:EB,g1
A009,8,PLAT:ALP:S06:EB,g1
A009,8,SEC:ALP:S05_S06:EB,g1
A009,9,PLAT:ALP:S05:EB,g1
A009,9,PLAT:ALP:S06:EB,g1
A009,9,SEC:ALP:S05_S06:EB,g1
A009,10,PLAT:ALP:S05:EB,g1
A009,10,PLAT:ALP:S06:EB,g1
A009,10,SEC:ALP:S05_S06:EB,g1
A009,13,PLAT:ALP:S05:EB,g1
A009,13,PLAT:ALP:S06:EB,g1
A009,13,SEC:ALP:S05_S06:EB,g1
A011,15,PLAT:BET:S15:EB,g1
A011,15,PLAT:BET:S16:EB,g1
A011,15,PLAT:BET:S17:EB,g1
A011,15,SEC:BET:S15_S16:EB,g3
A011,15,SEC:BET:S16_S17:EB,g1
A011,16,PLAT:BET:S15:EB,g1
A011,16,PLAT:BET:S16:EB,g1
A011,16,PLAT:BET:S17:EB,g1
A011,16,SEC:BET:S15_S16:EB,g1
A011,16,SEC:BET:S16_S17:EB,g1
A012,3,PLAT:BET:H01:WB,g1
A012,3,PLAT:BET:H02:WB,g1
A012,3,PLAT:BET:S15:WB,g1
A012,3,SEC:BET:H01_H02:WB,g1
A012,3,SEC:BET:H02_S15:WB,g1
A012,5,PLAT:BET:H01:WB,g1
A012,5,PLAT:BET:H02:WB,g1
A012,5,PLAT:BET:S15:WB,g1
A012,5,SEC:BET:H01_H02:WB,g1
A012,5,SEC:BET:H02_S15:WB,g1
A012,7,PLAT:BET:H01:WB,g1
A012,7,PLAT:BET:H02:WB,g1
A012,7,PLAT:BET:S15:WB,g1
A012,7,SEC:BET:H01_H02:WB,g1
A012,7,SEC:BET:H02_S15:WB,g1
A012,9,PLAT:BET:H01:WB,g1
A012,9,PLAT:BET:H02:WB,g1
A012,9,PLAT:BET:S15:WB,g1
A012,9,SEC:BET:H01_H02:WB,g1
A012,9,SEC:BET:H02_S15:WB,g1
A012,10,PLAT:BET:H01:WB,g1
A012,10,PLAT:BET:H02:WB,g1
A012,10,PLAT:BET:S15:WB,g1
A012,10,SEC:BET:H01_H02:WB,g1
A012,10,SEC:BET:H02_S15:WB,g1
A012,11,PLAT:BET:H01:WB,g1
A012,11,PLAT:BET:H02:WB,g1
A012,11,PLAT:BET:S15:WB,g1
A012,11,SEC:BET:H01_H02:WB,g1
A012,11,SEC:BET:H02_S15:WB,g1
