activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g2
A001,21,PLAT:BET:S16:EB,g1
A001,21,PLAT:BET:S17:EB,g2
A001,21,SEC:BET:S15_S16:EB,g2
A001,21,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g2
A001,23,PLAT:BET:S16:EB,g1
A001,23,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g1
A002,1,PLAT:BET:S11:WB,g1
A002,1,PLAT:BET:S12:WB,g1
A002,1,PLAT:BET:S13:WB,g1
A002,1,SEC:BET:S11_S12:WB,g1
A002,1,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g2
A003,12,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g2
A003,14,PLAT:BET:S16:EB,g2
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g2
A003,14,SEC:BET:S15_S16:EB,g2
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g1
A003,15,PLAT:BET:S16:EB,g1
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g1
A003,15,SEC:BET:S15_S16:EB,g1
A003,17,PLAT:BET:H01:EB,g1
A003,17,PLAT:BET:H02:EB,g1
A003,17,PLAT:BET:S15:EB,g2
A003,17,PLAT:BET:S16:EB,g1
A003,17,SEC:BET:H01_H02:EB,g1
A003,17,SEC:BET:H02_S15:EB,g2
A003,17,SEC:BET:S15_S16:EB,g2
A004,18,PLAT:ALP:H01:EB,g1
A004,18,PLAT:ALP:S03:EB,g1
A004,18,PLAT:ALP:S04:EB,g1
A004,18,SEC:ALP:S03_S04:EB,g1
A004,18,SEC:ALP:S04_H01:EB,g1
A004,19,PLAT:ALP:H01:EB,g1
A004,19,PLAT:ALP:S03:EB,g1
A004,19,PLAT:ALP:S04:EB,g1
A004,19,SEC:ALP:S03_S04:EB,g1
A004,19,SEC:ALP:S04_H01:EB,g1
A004,20,PLAT:ALP:H01:EB,g1
A004,20,PLAT:ALP:S03:EB,g1
A004,20,PLAT:ALP:S04:EB,g1
A004,20,SEC:ALP:S03_S04:EB,g1
A004,20,SEC:ALP:S04_H01:EB,g1
A006,17,PLAT:ALP:H01:WB,g1
A006,17,PLAT:ALP:H02:WB,g1
A006,17,PLAT:ALP:S03:WB,g1
A006,17,PLAT:ALP:S04:WB,g1
A006,17,SEC:ALP:H01_H02:WB,g1
A006,17,SEC:ALP:S03_S04:WB,g1
A006,17,SEC:ALP:S04_H01:WB,g1
A006,19,PLAT:ALP:H01:WB,g1
A006,19,PLAT:ALP:H02:WB,g1
A006,19,PLAT:ALP:S03:WB,g1
A006,19,PLAT:ALP:S04:WB,g1
A006,19,SEC:ALP:H01_H02:WB,g1
A006,19,SEC:ALP:S03_S04:WB,g1
A006,19,SEC:ALP:S04_H01:WB,g1
A007,15,PLAT:BET:H01:EB,g1
A007,15,PLAT:BET:H02:EB,g1
A007,15,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,21,PLAT:BET:H01:EB,g1
A007,21,PLAT:BET:H02:EB,g1
A007,21,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A008,17,PLAT:BET:S17:EB,g1
A008,17,PLAT:BET:S18:EB,g1
A008,17,SEC:BET:S17_S18:EB,g1
A008,18,PLAT:BET:S17:EB,g1
A008,18,PLAT:BET:S18:EB,g1
A008,18,SEC:BET:S17_S18:EB,g1
A008,20,PLAT:BET:S17:EB,g1
A008,20,PLAT:BET:S18:EB,g1
A008,20,SEC:BET:S17_S18:EB,g1
A008,23,PLAT:BET:S17:EB,g1
A008,23,PLAT:BET:S18:EB,g1
A008,23,SEC:BET:S17_S18:EB,g1
A008,26,PLAT:BET:S17:EB,g1
A008,26,PLAT:BET:S18:EB,g1
A008,26,SEC:BET:S17_S18:EB,g1
A009,4,PLAT:ALP:S05:EB,g1
A009,4,PLAT:ALP:S06:EB,g1
A009,4,SEC:ALP:S05_S06:EB,g1
A009,5,PLAT:ALP:S05:EB,g1
A009,5,PLAT:ALP:S06:EB,g1
A009,5,SEC:ALP:S05_S06:EB,g1
A009,7,PLAT:ALP:S05:EB,g1
A009,7,PLAT:ALP:S06:EB,g1
A009,7,SEC:ALP:S05_S06:EB,g1
A009,8,PLAT:ALP:S05:EB,g1
A009,8,PLAT:ALP:S06:EB,g1
A009,8,SEC:ALP:S05_S06:EB,g1
A009,9,PLAT:ALP:S05:EB,g1
A009,9,PLAT:ALP:S06:EB,g1
A009,9,SEC:ALP:S05_S06:EB,g1
A009,10,PLAT:ALP:S05:EB,g1
A009,10,PLAT:ALP:S06:EB,g1
A009,10,SEC:ALP:S05_S06:EB,g1
A009,11,PLAT:ALP:S05:EB,g1
A009,11,PLAT:ALP:S06:EB,g1
A009,11,SEC:ALP:S05_S06:EB,g1
A011,21,PLAT:BET:S15:EB,g1
A011,21,PLAT:BET:S16:EB,g2
A011,21,PLAT:BET:S17:EB,g1
A011,21,SEC:BET:S15_S16:EB,g3
A011,21,SEC:BET:S16_S17:EB,g1
A011,22,PLAT:BET:S15:EB,g2
A011,22,PLAT:BET:S16:EB,g1
A011,22,PLAT:BET:S17:EB,g2
A011,22,SEC:BET:S15_S16:EB,g1
A011,22,SEC:BET:S16_S17:EB,g1
A012,2,PLAT:BET:H01:WB,g1
A012,2,PLAT:BET:H02:WB,g1
