activity_id,access_seq,week,eclo,access_night
Z501,1,7,0,1
Z501,2,8,0,1
Z502,1,9,0,2
Z503,1,1,0,1
Z504,1,1,1,1
Z504,2,2,1,1
Z505,1,5,0,1
Z506,1,1,1,1
Z506,2,2,1,1
Z507,1,1,0,1
Z508,1,1,0,1
Z509,1,1,0,1
Z510,1,1,0,1
Z511,1,1,0,1
Z512,1,6,0,1
Z513,1,1,1,1
Z513,2,2,1,1
Z514,1,1,1,1
Z514,2,2,1,1
Z515,1,2,0,1
Z516,1,1,0,1
Z517,1,2,0,1
Z517,2,3,0,1
Z517,3,4,0,1
Z518,1,1,0,1
Z519,1,1,0,1
Z520,1,1,1,1
Z520,2,2,1,1
Z521,1,1,1,1
Z521,2,2,1,1
Z522,1,1,0,1
Z523,1,1,1,1
Z523,2,2,1,1
Z524,1,1,1,1
Z524,2,2,1,1
Z525,1,1,1,1
Z525,2,2,1,1
Z526,1,10,0,1
Z526,2,11,0,1
Z527,1,4,0,1
Z527,2,5,0,1
Z528,1,1,1,1
Z528,2,2,1,1
Z529,1,3,1,1
Z529,2,4,1,1
Z530,1,1,1,1
Z530,2,2,1,1
Z531,1,6,0,1
Z532,1,1,0,1
Z533,1,4,0,1
Z534,1,14,0,1
Z535,1,1,0,1
Z536,1,4,0,1
Z536,2,5,0,1
Z537,1,1,1,1
Z537,2,2,1,1
Z538,1,1,0,1
Z539,1,1,1,1
Z539,2,2,1,1
Z540,1,12,0,1
Z540,2,13,0,1
Z541,1,1,1,1
Z541,2,2,1,1
Z542,1,1,1,1
Z542,2,2,1,1
