activity_id,access_seq,week,eclo,access_night
R0101,1,1,1,1
R0101,2,2,1,1
R0102,1,4,0,1
R0102,2,5,0,1
R0103,1,6,0,1
R0104,1,7,0,1
R0104,2,8,0,1
R0105,1,9,0,1
R0106,1,10,0,1
R0106,2,11,0,1
R0107,1,12,0,1
R0107,2,13,0,1
R0108,1,14,0,1
R0109,1,4,0,1
R0109,2,5,0,1
R0201,1,1,1,1
R0201,2,2,1,1
R0202,1,4,0,1
R0202,2,5,0,1
R0203,1,6,0,1
R0204,1,7,0,1
R0204,2,8,0,1
R0205,1,9,0,1
R0206,1,10,0,1
R0206,2,11,0,1
R0207,1,12,0,1
R0207,2,13,0,1
R0208,1,14,0,1
R0209,1,4,0,1
R0209,2,5,0,1
R0301,1,1,1,1
R0301,2,2,1,1
R0302,1,4,0,1
R0302,2,5,0,1
R0303,1,6,0,1
R0304,1,7,0,1
R0304,2,8,0,1
R0305,1,9,0,1
R0306,1,10,0,1
R0306,2,11,0,1
R0307,1,12,0,1
R0307,2,13,0,1
R0308,1,14,0,1
R0309,1,4,0,1
R0309,2,5,0,1
R0401,1,1,1,1
R0401,2,2,1,1
R0402,1,4,0,1
R0402,2,5,0,1
R0403,1,6,0,1
R0404,1,7,0,1
R0404,2,8,0,1
R0405,1,9,0,1
R0406,1,10,0,1
R0406,2,11,0,1
R0407,1,12,0,1
R0407,2,13,0,1
R0408,1,14,0,1
R0409,1,4,0,1
R0409,2,5,0,1
R0501,1,1,1,1
R0501,2,2,1,1
R0502,1,4,0,1
R0502,2,5,0,1
R0503,1,6,0,1
R0504,1,7,0,1
R0504,2,8,0,1
R0505,1,9,0,1
R0506,1,10,0,1
R0506,2,11,0,1
R0507,1,12,0,1
R0507,2,13,0,1
R0508,1,14,0,1
R0509,1,4,0,1
R0509,2,5,0,1
R0601,1,1,1,1
R0601,2,2,1,1
R0602,1,4,0,1
R0602,2,5,0,1
R0603,1,6,0,1
R0604,1,7,0,1
R0604,2,8,0,1
R0605,1,9,0,1
R0606,1,10,0,1
R0606,2,11,0,1
R0607,1,12,0,1
R0607,2,13,0,1
R0608,1,14,0,1
R0609,1,4,0,1
R0609,2,5,0,1
R0701,1,1,1,1
R0701,2,2,1,1
R0702,1,4,0,1
R0702,2,5,0,1
R0703,1,6,0,1
R0704,1,7,0,1
R0704,2,8,0,1
R0705,1,9,0,1
R0706,1,10,0,1
R0706,2,11,0,1
R0707,1,12,0,1
R0707,2,13,0,1
R0708,1,14,0,1
R0709,1,4,0,1
R0709,2,5,0,1
R0801,1,1,1,1
R0801,2,2,1,1
R0802,1,4,0,1
R0802,2,5,0,1
R0803,1,6,0,1
R0804,1,7,0,1
R0804,2,8,0,1
R0805,1,9,0,1
R0806,1,10,0,1
R0806,2,11,0,1
R0807,1,12,0,1
R0807,2,13,0,1
R0808,1,14,0,1
R0809,1,4,0,1
R0809,2,5,0,1
